evidence_id,run_id,question_run_id,response_id,question_id,category_id,framework,country,document_id,document_title,page_start,page_end,chunk_id,source_language,source_text,translated_text_pt,translation_status,semantic_score,evidence_classification,validation_status,review_notes
EVID_BRASIL_Q01_BR_008_P0029_001,RUN_BRASIL_20260912T140932Z,RUN_BRASIL_20260912T140932Z_Q01,RESP_BRASIL_Q01_20260912T140932Z,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,brasil,BR_008,BR_008__BR_008.md,29,29,BR_008_p0029_c001,portuguese,"as políticas de educação digital, midiática e computacional na Educação Básica, em seus elementos curriculares, devem ser desenvolvidas com base nos documentos oficiais vigentes, especialmente na Base Nacional Comum Curricular – BNCC.","as políticas de educação digital, midiática e computacional na Educação Básica, em seus elementos curriculares, devem ser desenvolvidas com base nos documentos oficiais vigentes, especialmente na Base Nacional Comum Curricular – BNCC.",not_needed,,definitional,candidate,
EVID_BRASIL_Q01_BR_012_P0015_002,RUN_BRASIL_20260912T140932Z,RUN_BRASIL_20260912T140932Z_Q01,RESP_BRASIL_Q01_20260912T140932Z,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,brasil,BR_012,BR_012__BR_012.md,15,15,1,portuguese,"A partir desse conjunto indicativo, a equipe que se formou após a consulta pública promovida pelo CNE revisou as competências e habilidades considerando as práticas vigentes no país e estudando iniciativas internacionais.","A partir desse conjunto indicativo, a equipe que se formou após a consulta pública promovida pelo CNE revisou as competências e habilidades considerando as práticas vigentes no país e estudando iniciativas internacionais.",not_needed,,contextual,candidate,
EVID_BRASIL_Q01_BR_008_P0012_003,RUN_BRASIL_20260912T140932Z,RUN_BRASIL_20260912T140932Z_Q01,RESP_BRASIL_Q01_20260912T140932Z,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,brasil,BR_008,BR_008__BR_008.md,12,12,3,portuguese,"a PNED é uma agenda governamental que integra conectividade, distribuição de dispositivos, transformações curriculares e formação de professores, promovendo as competências digitais.","a PNED é uma agenda governamental que integra conectividade, distribuição de dispositivos, transformações curriculares e formação de professores, promovendo as competências digitais.",not_needed,,explanatory,candidate,
EVID_BRASIL_Q02_BR_018_P0011_001,RUN_BRASIL_20260912T140932Z,RUN_BRASIL_20260912T140932Z_Q02,RESP_BRASIL_Q02_20260912T140932Z,Q02,C02,COMPUTING_AND_DIGITAL_EDUCATION,brasil,BR_018,BR_018__BR_018.md,11,11,BR_018_p0011_c001,pt,a construção do currículo dos Anos Iniciais do Ensino Fundamental deverá incluir: II - o pensamento computacional para consolidar conhecimentos matemáticos e lógicos;,a construção do currículo dos Anos Iniciais do Ensino Fundamental deverá incluir: II - o pensamento computacional para consolidar conhecimentos matemáticos e lógicos;,not_needed,,definitional,candidate,
EVID_BRASIL_Q02_BR_008_P0024_002,RUN_BRASIL_20260912T140932Z,RUN_BRASIL_20260912T140932Z_Q02,RESP_BRASIL_Q02_20260912T140932Z,Q02,C02,COMPUTING_AND_DIGITAL_EDUCATION,brasil,BR_008,BR_008__BR_008.md,24,25,BR_008_p0024_c001,pt,O pensamento computacional é particularmente desenvolvido na matemática;,O pensamento computacional é particularmente desenvolvido na matemática;,not_needed,,definitional,candidate,
EVID_BRASIL_Q02_BR_004_P0468_003,RUN_BRASIL_20260912T140932Z,RUN_BRASIL_20260912T140932Z_Q02,RESP_BRASIL_Q02_20260912T140932Z,Q02,C02,COMPUTING_AND_DIGITAL_EDUCATION,brasil,BR_004,BR_004__BR_004.md,468,469,BR_004_p0468_c001,pt,"a BNCC estabelece conhecimentos, competências e habilidades relacionadas à computação, nas diferentes áreas.","a BNCC estabelece conhecimentos, competências e habilidades relacionadas à computação, nas diferentes áreas.",not_needed,,integrational,candidate,
EVID_BRASIL_Q03_BR_008_P0021_001,RUN_BRASIL_20260912T140932Z,RUN_BRASIL_20260912T140932Z_Q03,RESP_BRASIL_Q03_20260912T140932Z,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,brasil,BR_008,BR_008__BR_008.md,21,21,0,pt,"a cidadania digital deve ser considerada como dimensão estruturante das competências e habilidades relacionadas à educação digital e midiática, associando os elementos técnicos, como programação e construçã o de dispositivos, à compreensão crítica da interação entre os indivíduos e os meios digitais, além de seus limites e possibilidades.","a cidadania digital deve ser considerada como dimensão estruturante das competências e habilidades relacionadas à educação digital e midiática, associando os elementos técnicos, como programação e construção de dispositivos, à compreensão crítica da interação entre os indivíduos e os meios digitais, além de seus limites e possibilidades.",not_needed,,supporting,candidate,
EVID_BRASIL_Q03_BR_008_PNA_002,RUN_BRASIL_20260912T140932Z,RUN_BRASIL_20260912T140932Z_Q03,RESP_BRASIL_Q03_20260912T140932Z,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,brasil,BR_008,BR_008__BR_008.md,,,3,pt,"a Educação digital se desenvolve a partir de debates anteriores sobre Tecnologias Digitais da Informação e Comunicação (TDICs), educação midiática e letramento informacional, mas acrescenta a dimensão digital das novas TDICs.","a Educação digital se desenvolve a partir de debates anteriores sobre Tecnologias Digitais da Informação e Comunicação (TDICs), educação midiática e letramento informacional, mas acrescenta a dimensão digital das novas TDICs.",not_needed,,supporting,candidate,
EVID_BRASIL_Q03_BR_005_P0037_003,RUN_BRASIL_20260912T140932Z,RUN_BRASIL_20260912T140932Z_Q03,RESP_BRASIL_Q03_20260912T140932Z,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,brasil,BR_005,BR_005__BR_005.md,37,39,6,pt,"Utilizar diferentes mídias para a comunicação, agindo de forma crítica e ética na produção e consumo de informação.","Utilizar diferentes mídias para a comunicação, agindo de forma crítica e ética na produção e consumo de informação.",not_needed,,supporting,candidate,
EVID_BRASIL_Q04_BR_003_PNA_001,RUN_BRASIL_20260912T140932Z,RUN_BRASIL_20260912T140932Z_Q04,RESP_BRASIL_Q04_20260912T140932Z,Q04,C04,OECD_PISA,brasil,BR_003,BR_003__BR_003.md,,,1,pt,"Além disso, desde as décadas finais do século XX e ao longo deste início do século XXI, o foco no desenvolvimento de competências tem orientado a maioria dos Estados e Municípios brasileiros e diferentes países na construção de seus currículos. É esse também o enfoque adotado nas avaliações internacionais da Organização para a Cooperação e Desenvolvimento Econômico (OCDE), que coordena o Programa Internacional de Avaliação de Alunos (Pisa, na sigla em inglês), e da Organização das Nações Unidas para a Educação, a Ciência e a Cultura (Unesco, na sigla em inglês).","Além disso, desde as décadas finais do século XX e ao longo deste início do século XXI, o foco no desenvolvimento de competências tem orientado a maioria dos Estados e Municípios brasileiros e diferentes países na construção de seus currículos. É esse também o enfoque adotado nas avaliações internacionais da Organização para a Cooperação e Desenvolvimento Econômico (OCDE), que coordena o Programa Internacional de Avaliação de Alunos (Pisa, na sigla em inglês), e da Organização das Nações Unidas para a Educação, a Ciência e a Cultura (Unesco, na sigla em inglês).",not_needed,0,relevant,candidate,
