response_id,run_id,question_run_id,question_id,category_id,framework,country,question_text,response,evidence_ids,backend,question_version,prompt_version,run_date,validation_status,review_notes
RESP_RUANDA_Q01_20260912T144341Z,RUN_RUANDA_20260912T144341Z,RUN_RUANDA_20260912T144341Z_Q01,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,ruanda,Como o país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,"Em Ruanda, as competências de Computação e Educação Digital são definidas e organizadas em documentos curriculares através de uma abordagem baseada em competências. Os alunos são capacitados a desenvolver diferentes competências de TIC, incluindo programação, uso de software de planilhas e ferramentas de apresentação. O currículo é estruturado para promover não apenas habilidades tecnológicas, mas também raciocínio crítico e soluções para problemas sociais e econômicos.",EVID_RUANDA_Q01_RW_001_P0008_001; EVID_RUANDA_Q01_RW_001_P0009_002; EVID_RUANDA_Q01_RW_001_P0008_003,openai,3.0,rag-country-v3.2,2026-09-12T14:43:41.252209+00:00,candidate,
RESP_RUANDA_Q02_20260912T144341Z,RUN_RUANDA_20260912T144341Z,RUN_RUANDA_20260912T144341Z_Q02,Q02,C02,COMPUTING_AND_DIGITAL_EDUCATION,ruanda,"Como o Pensamento Computacional é definido, desenvolvido ou incorporado ao currículo do país?","O Pensamento Computacional é abordado no currículo de Ruanda através do ensino de Tecnologias da Informação e Comunicação (TIC), onde os alunos são incentivados a aplicar habilidades tecnológicas para resolver problemas, desenvolvendo o pensamento crítico e a capacidade de raciocínio lógico. O currículo busca integrar essas habilidades em atividades práticas dentro do ambiente escolar.",EVID_RUANDA_Q02_RW_001_P0009_001; EVID_RUANDA_Q02_RW_001_P0018_002,openai,3.0,rag-country-v3.2,2026-09-12T14:43:41.252209+00:00,candidate,
RESP_RUANDA_Q03_20260912T144341Z,RUN_RUANDA_20260912T144341Z,RUN_RUANDA_20260912T144341Z_Q03,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,ruanda,"Como os documentos abordam cidadania digital, ética digital e letramento midiático?","Os documentos abordam cidadania digital, ética digital e letramento midiático através da promoção do uso ético da internet, explorando estratégias de pesquisa na web e discutindo questões éticas relacionadas ao uso de plataformas online.",EVID_RUANDA_Q03_RW_001_P0021_001; EVID_RUANDA_Q03_RW_001_P0021_002,openai,3.0,rag-country-v3.2,2026-09-12T14:43:41.252209+00:00,candidate,
RESP_RUANDA_Q04_20260912T144341Z,RUN_RUANDA_20260912T144341Z,RUN_RUANDA_20260912T144341Z_Q04,Q04,C04,OECD_PISA,ruanda,Que evidências apresentam convergência com princípios ou dimensões presentes nos referenciais UNESCO e OECD/PISA?,"As competências amplas em ICT promovem habilidades de pensamento crítico, resolução de problemas e aplicação de conhecimento, alinhando-se aos princípios UNESCO e OECD/PISA.",EVID_RUANDA_Q04_RW_001_P0009_001; EVID_RUANDA_Q04_RW_001_P0009_002,openai,3.0,rag-country-v3.2,2026-09-12T14:43:41.252209+00:00,candidate,
RESP_RUANDA_Q05_20260912T144341Z,RUN_RUANDA_20260912T144341Z,RUN_RUANDA_20260912T144341Z_Q05,Q05,C05,COMPUTING_AND_DIGITAL_EDUCATION,ruanda,Quais competências associadas ao século XXI aparecem nos documentos curriculares?,"As competências associadas ao século XXI nos documentos curriculares incluem: pensamento crítico, raciocínio lógico, habilidades éticas no uso da tecnologia, e a capacidade de trabalhar cooperativamente em grupos. Além disso, enfatizam o desenvolvimento de habilidades criativas e inovadoras, bem como a adaptação a contextos tecnológicos variados.",EVID_RUANDA_Q05_RW_001_P0009_001; EVID_RUANDA_Q05_RW_001_P0008_002; EVID_RUANDA_Q05_RW_001_P0016_003,openai,3.0,rag-country-v3.2,2026-09-12T14:43:41.252209+00:00,candidate,
RESP_RUANDA_Q06_20260912T144341Z,RUN_RUANDA_20260912T144341Z,RUN_RUANDA_20260912T144341Z_Q06,Q06,C06,COMPUTING_AND_DIGITAL_EDUCATION,ruanda,"Como colaboração, criatividade e resolução de problemas são incorporadas às competências e práticas curriculares?","A integração de colaboração, criatividade e resolução de problemas é evidente nas atividades curriculares, em que os alunos são incentivados a trabalhar em grupos, discutir estratégias e realizar pesquisas baseadas em internet, promovendo habilidades práticas e éticas.",EVID_RUANDA_Q06_RW_001_P0021_001; EVID_RUANDA_Q06_RW_001_P0022_002,openai,3.0,rag-country-v3.2,2026-09-12T14:43:41.252209+00:00,candidate,
RESP_RUANDA_Q07_20260912T144341Z,RUN_RUANDA_20260912T144341Z,RUN_RUANDA_20260912T144341Z_Q07,Q07,C07,COMPUTING_AND_DIGITAL_EDUCATION,ruanda,"Como os documentos abordam Inteligência Artificial, ética, privacidade, segurança e uso responsável das tecnologias digitais?","Os documentos abordam a ética no uso da internet, enfatizando a importância de práticas respeitosas e a conscientização sobre questões de copyright e segurança na web. A segurança também é tratada, com ênfase em estratégias para evitar malware e hacking. Contudo, a evidência sobre inteligência artificial e seu uso responsável não foi encontrada.",EVID_RUANDA_Q07_RW_001_P0021_001; EVID_RUANDA_Q07_RW_001_P0021_002,openai,3.0,rag-country-v3.2,2026-09-12T14:43:41.252209+00:00,candidate,
RESP_RUANDA_Q08_20260912T144341Z,RUN_RUANDA_20260912T144341Z,RUN_RUANDA_20260912T144341Z_Q08,Q08,C08,COMPUTING_AND_DIGITAL_EDUCATION,ruanda,"Como inclusão, acessibilidade e equidade digital são tratadas nos documentos?","Os documentos abordam a inclusão, acessibilidade e equidade digital através da formação em Tecnologia da Informação e Comunicação (TIC), enfatizando habilidades práticas e éticas na utilização da internet. Há um foco na educação ética em pesquisas online e na utilização de ferramentas como Google Apps para resolver problemas reais.",EVID_RUANDA_Q08_RW_001_P0021_001; EVID_RUANDA_Q08_RW_001_P0022_002,openai,3.0,rag-country-v3.2,2026-09-12T14:43:41.252209+00:00,candidate,
RESP_RUANDA_Q09_20260912T144341Z,RUN_RUANDA_20260912T144341Z,RUN_RUANDA_20260912T144341Z_Q09,Q09,C09,COMPUTING_AND_DIGITAL_EDUCATION,ruanda,"Que equilíbrio existe entre dimensões técnicas da Computação e dimensões sociais, culturais, éticas e humanas da Educação Digital?","A Educação Digital em Ruanda visa transformar os cidadãos em capital humano qualificado para o desenvolvimento socioeconômico, promovendo acesso equitativo à educação de qualidade e desenvolvimento de habilidades críticas e éticas. A implementação de Tecnologias de Informação e Comunicação (TIC) é essencial para integrar aspectos técnicos da computação com as dimensões sociais e culturais da educação.",EVID_RUANDA_Q09_RW_001_P0008_001; EVID_RUANDA_Q09_RW_001_P0008_002,openai,3.0,rag-country-v3.2,2026-09-12T14:43:41.252209+00:00,inconclusive,
RESP_RUANDA_Q10_20260912T144341Z,RUN_RUANDA_20260912T144341Z,RUN_RUANDA_20260912T144341Z_Q10,Q10,C10,COMPUTING_AND_DIGITAL_EDUCATION,ruanda,"Como pensamento crítico, autonomia e participação social são promovidos no currículo relacionado à Computação e Educação Digital?","O currículo de Computação e Educação Digital em Ruanda promove o pensamento crítico, autonomia e participação social pelos seguintes meios: os alunos desenvolvem raciocínio crítico e lógica através do web design, criando soluções para problemas relacionados ao serviço no país; eles trabalham em grupos, o que aumenta a cooperação e a comunicação; e são incentivados a usar as TIC para a pesquisa, o que melhora sua capacidade de atuar de forma independente e crítica em contextos sociais e profissionais.",EVID_RUANDA_Q10_RW_001_P0009_001; EVID_RUANDA_Q10_RW_001_P0010_002; EVID_RUANDA_Q10_RW_001_P0004_003,openai,3.0,rag-country-v3.2,2026-09-12T14:43:41.252209+00:00,candidate,
