evidence_id,run_id,question_run_id,response_id,question_id,category_id,framework,country,document_id,document_title,page_start,page_end,chunk_id,source_language,source_text,translated_text_pt,translation_status,semantic_score,evidence_classification,validation_status,review_notes
EVID_QUENIA_Q01_KE_001_P0025_001,RUN_QUENIA_20260912T143913Z,RUN_QUENIA_20260912T143913Z_Q01,RESP_QUENIA_Q01_20260912T143913Z,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,quenia,KE_001,Basic Education Curriculum Framework,25,25,6,en,"Digital literacy can be described as having the knowledge, skills and behaviours which are necessary to effectively and safely use a wide range of digital content and devices.","A literacia digital pode ser descrita como tendo o conhecimento, habilidades e comportamentos que são necessários para usar de forma eficaz e segura uma ampla gama de conteúdos e dispositivos digitais.",translated,,supporting,candidate,
EVID_QUENIA_Q01_KE_001_P0027_002,RUN_QUENIA_20260912T143913Z,RUN_QUENIA_20260912T143913Z_Q01,RESP_QUENIA_Q01_20260912T143913Z,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,quenia,KE_001,Basic Education Curriculum Framework,27,27,7,en,The competence based curriculum recognizes this hidden ability in learners. It will therefore inspire learners’ imagination by presenting knowledge in ways that encourage learners to think as individuals.,"O currículo baseado em competências reconhece essa habilidade oculta nos alunos. Portanto, inspirará a imaginação dos alunos ao apresentar o conhecimento de maneiras que incentivem os alunos a pensar como indivíduos.",translated,,supporting,candidate,
EVID_QUENIA_Q02_KE_001_P0054_001,RUN_QUENIA_20260912T143913Z,RUN_QUENIA_20260912T143913Z_Q02,RESP_QUENIA_Q02_20260912T143913Z,Q02,C02,COMPUTING_AND_DIGITAL_EDUCATION,quenia,KE_001,Basic Education Curriculum Framework,54,54,6,en,"The vision of the basic education curriculum reforms is to enable every Kenyan to become an engaged, empowered and ethical citizen. This will be achieved by providing every Kenyan learner with world class standards in the skills and knowledge that they deserve, and which they need in order to thrive in the 21st century.","A visão das reformas curriculares da educação básica é permitir que cada queniano se torne um cidadão engajado, empoderado e ético. Isso será alcançado ao proporcionar a cada aprendiz queniano padrões de classe mundial nas habilidades e conhecimentos que merecem e que precisam para prosperar no século XXI.",translated,,supportive,candidate,
EVID_QUENIA_Q02_KE_001_P0024_002,RUN_QUENIA_20260912T143913Z,RUN_QUENIA_20260912T143913Z_Q02,RESP_QUENIA_Q02_20260912T143913Z,Q02,C02,COMPUTING_AND_DIGITAL_EDUCATION,quenia,KE_001,Basic Education Curriculum Framework,24,24,3,en,"Critical thinking and problem solving will be developed through age appropriate activities and programmes in the school curriculum. For example, at pre-primary school level learners can be asked to come up with the best ways of using and keeping their books, stationery and other personal items safe.","O pensamento crítico e a resolução de problemas serão desenvolvidos por meio de atividades e programas adequados à idade no currículo escolar. Por exemplo, no nível pré-escolar, os alunos podem ser solicitados a encontrar as melhores maneiras de usar e manter seus livros, material de escritório e outros itens pessoais seguros.",translated,,supportive,candidate,
EVID_QUENIA_Q03_KE_001_P0025_001,RUN_QUENIA_20260912T143913Z,RUN_QUENIA_20260912T143913Z_Q03,RESP_QUENIA_Q03_20260912T143913Z,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,quenia,KE_001,KE_001,25,25,5,en,"Citizenship is the state of being vested with the rights, privileges, and duties of a citizen. It creates a sense of belonging and attachment to one’s nation. A sense of citizenship helps to equip young people to deal with situations of conflict and controversy knowledgeably and tolerantly.","A cidadania é o estado de ser dotado dos direitos, privilégios e deveres de um cidadão. Ela cria um senso de pertencimento e apego à nação. Um senso de cidadania ajuda a equipar os jovens para lidar com situações de conflito e controvérsia de maneira informada e tolerante.",translated,,supporting,candidate,
EVID_QUENIA_Q03_KE_001_P0026_002,RUN_QUENIA_20260912T143913Z,RUN_QUENIA_20260912T143913Z_Q03,RESP_QUENIA_Q03_20260912T143913Z,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,quenia,KE_001,KE_001,26,26,6,en,"Digital literacy can be described as having the knowledge, skills and behaviours which are necessary to effectively and safely use a wide range of digital content and devices... being aware of and adhering to ethical behaviour protocols, being aware of societal issues raised through digital media...","A letramento digital pode ser descrito como ter o conhecimento, as habilidades e os comportamentos que são necessários para usar de forma eficaz e segura uma ampla gama de conteúdos e dispositivos digitais... estar ciente e aderir aos protocolos de comportamento ético, estar ciente das questões sociais levantadas pela mídia digital...",translated,,supporting,candidate,
EVID_QUENIA_Q04_KE_001_P0058_001,RUN_QUENIA_20260912T143913Z,RUN_QUENIA_20260912T143913Z_Q04,RESP_QUENIA_Q04_20260912T143913Z,Q04,C04,OECD_PISA,quenia,KE_001,KE_001__KE_001.md,58,58,4,en,"The Social Sciences pathway enables the learner to acquire communication and collaboration, creativity and imagination, critical thinking and problem solving, citizenship, learning to learn and self-efficacy competencies.","O caminho das Ciências Sociais permite que o aluno adquira competências em comunicação e colaboração, criatividade e imaginação, pensamento crítico e resolução de problemas, cidadania, aprendizado contínuo e autoeficácia.",translated,,relevant,candidate,
EVID_QUENIA_Q05_KE_001_P0022_001,RUN_QUENIA_20260912T143913Z,RUN_QUENIA_20260912T143913Z_Q05,RESP_QUENIA_Q05_20260912T143913Z,Q05,C05,COMPUTING_AND_DIGITAL_EDUCATION,quenia,KE_001,Basic Education Curriculum Framework,22,22,0,en,"Based on the Needs Assessment Study carried out by KICD, and the vision and mission of the BECF, the seven core competencies to be achieved by every learner in basic education are: 1. Communication and Collaboration 2. Self-efficacy 3. Critical Thinking and Problem Solving 4. Creativity and Imagination 5. Citizenship 6. Digital Literacy 7. Learning to Learn","Com base no Estudo de Avaliação de Necessidades realizado pelo KICD, e na visão e missão do BECF, as sete competências centrais a serem alcançadas por cada aprendiz na educação básica são: 1. Comunicação e Colaboração 2. Autoeficácia 3. Pensamento Crítico e Resolução de Problemas 4. Criatividade e Imaginação 5. Cidadania 6. Literacia Digital 7. Aprendizado a Aprender",translated,,support,candidate,
EVID_QUENIA_Q06_KE_001_P0025_001,RUN_QUENIA_20260912T143913Z,RUN_QUENIA_20260912T143913Z_Q06,RESP_QUENIA_Q06_20260912T143913Z,Q06,C06,COMPUTING_AND_DIGITAL_EDUCATION,quenia,KE_001,Basic Education Curriculum Framework,25,25,1,en,"The competence based curriculum recognizes this hidden ability in learners. It will therefore, inspire learners’ imagination by presenting knowledge in ways that encourage learners to think as individuals. It will create scenarios that help learners to engage in imagination and encourage them to develop creations steered by the imagination. Their ability to imagine will be stretched through exposure to challenging situations that help to expand their thinking and creativity skills.","O currículo baseado em competências reconhece essa habilidade oculta nos alunos. Portanto, inspirará a imaginação dos alunos apresentando conhecimentos de maneiras que incentivem os alunos a pensar como indivíduos. Criará cenários que ajudam os alunos a se engajar na imaginação e a desenvolver criações orientadas pela imaginação. A capacidade deles de imaginar será ampliada através da exposição a situações desafiadoras que ajudam a expandir suas habilidades de pensamento e criatividade.",translated,,supportive,candidate,
EVID_QUENIA_Q07_KE_001_P0128_001,RUN_QUENIA_20260912T143913Z,RUN_QUENIA_20260912T143913Z_Q07,RESP_QUENIA_Q07_20260912T143913Z,Q07,C07,COMPUTING_AND_DIGITAL_EDUCATION,quenia,KE_001,Basic Education Curriculum Framework,128,128,7,en,"One important feature of inclusive assessment is the assessment accommodation. Assessment accommodation involves the modification of existing standardized or summative assessment procedures, tools and methods in order that they are able to meet the needs of learners with special educational needs.","Uma característica importante da avaliação inclusiva é a acomodação da avaliação. A acomodação da avaliação envolve a modificação dos procedimentos, ferramentas e métodos de avaliação padronizados ou somativos existentes para que possam atender às necessidades de alunos com necessidades educacionais especiais.",translated,,supportive,candidate,
