run_id,question_run_id,response_id,question_id,country,timestamp,framework,category_id,question_version,prompt_version,backend,status,number_of_evidences
RUN_AUSTRALIA_20260912T140702Z,RUN_AUSTRALIA_20260912T140702Z_Q01,RESP_AUSTRALIA_Q01_20260912T140702Z,Q01,australia,2026-09-12T14:07:18.488484+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C01,3.0,rag-country-v3.2,openai,executed,3
RUN_AUSTRALIA_20260912T140702Z,RUN_AUSTRALIA_20260912T140702Z_Q02,RESP_AUSTRALIA_Q02_20260912T140702Z,Q02,australia,2026-09-12T14:07:26.610366+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C02,3.0,rag-country-v3.2,openai,executed,3
RUN_AUSTRALIA_20260912T140702Z,RUN_AUSTRALIA_20260912T140702Z_Q03,RESP_AUSTRALIA_Q03_20260912T140702Z,Q03,australia,2026-09-12T14:07:33.567982+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C03,3.0,rag-country-v3.2,openai,executed,2
RUN_AUSTRALIA_20260912T140702Z,RUN_AUSTRALIA_20260912T140702Z_Q04,RESP_AUSTRALIA_Q04_20260912T140702Z,Q04,australia,2026-09-12T14:07:39.819161+00:00,OECD_PISA,C04,3.0,rag-country-v3.2,openai,executed,2
RUN_AUSTRALIA_20260912T140702Z,RUN_AUSTRALIA_20260912T140702Z_Q05,RESP_AUSTRALIA_Q05_20260912T140702Z,Q05,australia,2026-09-12T14:07:47.292385+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C05,3.0,rag-country-v3.2,openai,executed,4
RUN_AUSTRALIA_20260912T140702Z,RUN_AUSTRALIA_20260912T140702Z_Q06,RESP_AUSTRALIA_Q06_20260912T140702Z,Q06,australia,2026-09-12T14:07:57.721738+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C06,3.0,rag-country-v3.2,openai,executed,2
RUN_AUSTRALIA_20260912T140702Z,RUN_AUSTRALIA_20260912T140702Z_Q07,RESP_AUSTRALIA_Q07_20260912T140702Z,Q07,australia,2026-09-12T14:08:12.401001+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C07,3.0,rag-country-v3.2,openai,executed,2
RUN_AUSTRALIA_20260912T140702Z,RUN_AUSTRALIA_20260912T140702Z_Q08,RESP_AUSTRALIA_Q08_20260912T140702Z,Q08,australia,2026-09-12T14:08:19.151550+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C08,3.0,rag-country-v3.2,openai,executed,2
RUN_AUSTRALIA_20260912T140702Z,RUN_AUSTRALIA_20260912T140702Z_Q09,RESP_AUSTRALIA_Q09_20260912T140702Z,Q09,australia,2026-09-12T14:08:25.592983+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C09,3.0,rag-country-v3.2,openai,executed,2
RUN_AUSTRALIA_20260912T140702Z,RUN_AUSTRALIA_20260912T140702Z_Q10,RESP_AUSTRALIA_Q10_20260912T140702Z,Q10,australia,2026-09-12T14:08:32.137997+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C10,3.0,rag-country-v3.2,openai,executed,2
RUN_AUSTRALIA_20260912T140702Z,RUN_AUSTRALIA_20260912T140702Z_Q11,RESP_AUSTRALIA_Q11_20260912T140702Z,Q11,australia,2026-09-12T14:08:39.234138+00:00,UNESCO_GCED_2015,C11,3.0,rag-country-v3.2,openai,executed,2
RUN_AUSTRALIA_20260912T140702Z,RUN_AUSTRALIA_20260912T140702Z_Q12,RESP_AUSTRALIA_Q12_20260912T140702Z,Q12,australia,2026-09-12T14:08:52.339485+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C12,3.0,rag-country-v3.2,openai,executed,2
RUN_AUSTRALIA_20260912T140702Z,RUN_AUSTRALIA_20260912T140702Z_Q13,RESP_AUSTRALIA_Q13_20260912T140702Z,Q13,australia,2026-09-12T14:09:00.118516+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C13,3.0,rag-country-v3.2,openai,executed,3
