question_id,title,question_text,question_type,analysis_stage,framework,category_id,target_scope,target_country,evidence_rule,exclusion_rule,version,active
Q01,Competências de Computação e Educação Digital,Como o país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,evidence_retrieval,retrieval,COMPUTING_AND_DIGITAL_EDUCATION,C01,country,,"Recuperar trechos que expressem competências, objetivos, habilidades ou organização curricular diretamente relacionados à Computação e à Educação Digital.","Excluir menções genéricas a tecnologia sem objetivo curricular, competência discente ou organização formativa.",3.0,true
Q02,Pensamento Computacional,"Como o Pensamento Computacional é definido, desenvolvido ou incorporado ao currículo do país?",evidence_retrieval,retrieval,COMPUTING_AND_DIGITAL_EDUCATION,C02,country,,"Recuperar trechos que tratem explicitamente de pensamento computacional, decomposição, abstração, algoritmos, reconhecimento de padrões, modelagem ou resolução computacional de problemas.",Excluir uso isolado de programação ou dispositivos quando não houver relação com processos de pensamento ou resolução de problemas.,3.0,true
Q03,"Cidadania digital, ética e letramento midiático","Como os documentos abordam cidadania digital, ética digital e letramento midiático?",evidence_retrieval,retrieval,COMPUTING_AND_DIGITAL_EDUCATION,C03,country,,"Recuperar trechos sobre cidadania digital, ética, comportamento responsável, direitos e deveres digitais, letramento midiático, avaliação crítica de informação ou participação em ambientes digitais.","Excluir trechos puramente técnicos de uso de ferramentas sem dimensão ética, cidadã ou midiática.",3.0,true
Q04,Convergência com UNESCO e OECD/PISA,Que evidências apresentam convergência com princípios ou dimensões presentes nos referenciais UNESCO e OECD/PISA?,evidence_retrieval,retrieval,OECD_PISA,C04,country,,"Recuperar evidências curriculares que possam ser relacionadas de forma explícita e justificável a competências, princípios ou dimensões presentes nos referenciais UNESCO e OECD/PISA.","Não inferir alinhamento apenas por semelhança lexical vaga; exigir conteúdo curricular semanticamente compatível e registrar a evidência fonte.",3.0,true
Q05,Competências do século XXI,Quais competências associadas ao século XXI aparecem nos documentos curriculares?,evidence_retrieval,retrieval,COMPUTING_AND_DIGITAL_EDUCATION,C05,country,,"Recuperar trechos relacionados a competências como comunicação, colaboração, criatividade, pensamento crítico, resolução de problemas, autonomia, aprendizagem contínua e competência digital.","Excluir listas genéricas sem vínculo com objetivos, competências ou práticas educacionais.",3.0,true
Q06,"Colaboração, criatividade e resolução de problemas","Como colaboração, criatividade e resolução de problemas são incorporadas às competências e práticas curriculares?",evidence_retrieval,retrieval,COMPUTING_AND_DIGITAL_EDUCATION,C06,country,,"Recuperar trechos que apresentem colaboração, criatividade ou resolução de problemas como objetivo, competência, prática pedagógica ou resultado de aprendizagem.",Excluir menções circunstanciais sem função curricular ou formativa.,3.0,true
Q07,"IA, ética, privacidade e segurança","Como os documentos abordam Inteligência Artificial, ética, privacidade, segurança e uso responsável das tecnologias digitais?",evidence_retrieval,retrieval,COMPUTING_AND_DIGITAL_EDUCATION,C07,country,,"Recuperar trechos sobre IA, algoritmos, dados, privacidade, proteção de dados, cibersegurança, segurança digital, ética tecnológica ou uso responsável.","Excluir simples referências a softwares, plataformas ou infraestrutura sem dimensão de IA, ética, privacidade ou segurança.",3.0,true
Q08,"Inclusão, acessibilidade e equidade digital","Como inclusão, acessibilidade e equidade digital são tratadas nos documentos?",evidence_retrieval,retrieval,COMPUTING_AND_DIGITAL_EDUCATION,C08,country,,"Recuperar trechos sobre inclusão digital, acessibilidade, equidade, redução de desigualdades, participação de grupos vulneráveis ou acesso justo a recursos e oportunidades digitais.","Excluir menções administrativas a acesso ou infraestrutura sem relação com inclusão, acessibilidade ou equidade educacional.",3.0,true
Q09,Dimensão técnica e sociocultural,Que equilíbrio existe entre dimensões técnicas da Computação e dimensões sociais, culturais, éticas e humanas da Educação Digital?,evidence_retrieval,retrieval,COMPUTING_AND_DIGITAL_EDUCATION,C09,country,,"Recuperar evidências de objetivos e competências técnicas e também de dimensões sociais, culturais, éticas ou humanas, permitindo caracterizar sua coexistência no currículo.","Não transformar a recuperação em ranking; registrar evidências para cada dimensão e deixar a síntese comparativa para etapa posterior.",3.0,true
Q10,"Pensamento crítico, autonomia e participação","Como pensamento crítico, autonomia e participação social são promovidos no currículo relacionado à Computação e Educação Digital?",evidence_retrieval,retrieval,COMPUTING_AND_DIGITAL_EDUCATION,C10,country,,"Recuperar trechos em que pensamento crítico, autonomia, tomada de decisão, participação, agência ou envolvimento social aparecem como objetivos ou competências.","Excluir menções genéricas a participação em atividades sem dimensão crítica, autônoma ou social.",3.0,true
Q11,Cidadania Global,Que elementos relacionados à cidadania global aparecem nos documentos curriculares?,evidence_retrieval,retrieval,UNESCO_GCED_2015,C11,country,,"Recuperar evidências relacionadas às dimensões cognitiva, socioemocional e comportamental da Educação para a Cidadania Global, incluindo interdependência, diversidade, solidariedade, pensamento crítico e participação responsável.","Excluir ocorrências de termos como global, internacional ou cidadania sem conteúdo formativo compatível com o framework.",3.0,true
Q12,Formação e desenvolvimento docente,"Como a formação, atuação ou desenvolvimento profissional docente para Computação e Educação Digital são abordados?",evidence_retrieval,retrieval,COMPUTING_AND_DIGITAL_EDUCATION,C12,country,,"Recuperar trechos sobre formação inicial ou continuada, competências docentes, desenvolvimento profissional, apoio pedagógico, preparação ou papel do professor em Computação e Educação Digital.","Excluir referências administrativas a professores que não tratem de formação, competências, desenvolvimento ou atuação pedagógica.",3.0,true
