response_id,run_id,question_run_id,question_id,category_id,framework,country,question_text,response,evidence_ids,backend,question_version,prompt_version,run_date,validation_status,review_notes
RESP_QUENIA_Q01_20260912T143913Z,RUN_QUENIA_20260912T143913Z,RUN_QUENIA_20260912T143913Z_Q01,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,quenia,Como o país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,"O país organiza as competências de Computação e Educação Digital por meio de um currículo orientado a competências que busca inspirar a imaginação dos alunos e a aplicação de habilidades digitais. A literacia digital é considerada uma competência abrangente que inclui o uso efetivo e seguro de dispositivos digitais e a adesão aos protocolos de comportamento ético. Há um foco significativo no desenvolvimento de competências em vez de conteúdos, permitindo que os educadores adaptem o ensino às necessidades dos alunos.",EVID_QUENIA_Q01_KE_001_P0025_001; EVID_QUENIA_Q01_KE_001_P0027_002,openai,3.0,rag-country-v3.2,2026-09-12T14:39:13.727070+00:00,candidate,
RESP_QUENIA_Q02_20260912T143913Z,RUN_QUENIA_20260912T143913Z,RUN_QUENIA_20260912T143913Z_Q02,Q02,C02,COMPUTING_AND_DIGITAL_EDUCATION,quenia,"Como o Pensamento Computacional é definido, desenvolvido ou incorporado ao currículo do país?","O Pensamento Computacional é incorporado ao currículo do Quênia como parte do ensino de habilidades digitais e tecnologia, fundamentais para a educação de qualidade e o desenvolvimento de competências para o século XXI.",EVID_QUENIA_Q02_KE_001_P0054_001; EVID_QUENIA_Q02_KE_001_P0024_002,openai,3.0,rag-country-v3.2,2026-09-12T14:39:13.727070+00:00,candidate,
RESP_QUENIA_Q03_20260912T143913Z,RUN_QUENIA_20260912T143913Z,RUN_QUENIA_20260912T143913Z_Q03,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,quenia,"Como os documentos abordam cidadania digital, ética digital e letramento midiático?","Os documentos abordam cidadania digital ao enfatizar que a cidadania cria um senso de pertença e ajuda os jovens a lidar com conflitos e a entender as consequências de suas ações. Além disso, a letramento digital é descrita como a habilidade de usar dispositivos digitais de forma eficaz e segura, além de compreender as questões éticas e sociais que surgem do uso da mídia digital.",EVID_QUENIA_Q03_KE_001_P0025_001; EVID_QUENIA_Q03_KE_001_P0026_002,openai,3.0,rag-country-v3.2,2026-09-12T14:39:13.727070+00:00,candidate,
RESP_QUENIA_Q04_20260912T143913Z,RUN_QUENIA_20260912T143913Z,RUN_QUENIA_20260912T143913Z_Q04,Q04,C04,OECD_PISA,quenia,Que evidências apresentam convergência com princípios ou dimensões presentes nos referenciais UNESCO e OECD/PISA?,"A formação prevista no currículo contempla competências essenciais como a comunicação e colaboração, pensamento crítico e a criatividade, que estão alinhadas com os princípios UNESCO e OECD/PISA.",EVID_QUENIA_Q04_KE_001_P0058_001,openai,3.0,rag-country-v3.2,2026-09-12T14:39:13.727070+00:00,candidate,
RESP_QUENIA_Q05_20260912T143913Z,RUN_QUENIA_20260912T143913Z,RUN_QUENIA_20260912T143913Z_Q05,Q05,C05,COMPUTING_AND_DIGITAL_EDUCATION,quenia,Quais competências associadas ao século XXI aparecem nos documentos curriculares?,"As competências associadas ao século XXI que aparecem nos documentos curriculares do Quênia incluem Comunicação e Colaboração, Autoeficácia, Pensamento Crítico e Resolução de Problemas, Criatividade e Imaginação, Cidadania, Literacia Digital e Aprendizado a Aprender.",EVID_QUENIA_Q05_KE_001_P0022_001,openai,3.0,rag-country-v3.2,2026-09-12T14:39:13.727070+00:00,candidate,
RESP_QUENIA_Q06_20260912T143913Z,RUN_QUENIA_20260912T143913Z,RUN_QUENIA_20260912T143913Z_Q06,Q06,C06,COMPUTING_AND_DIGITAL_EDUCATION,quenia,"Como colaboração, criatividade e resolução de problemas são incorporadas às competências e práticas curriculares?","A incorporação de colaboração, criatividade e resolução de problemas nas competências e práticas curriculares é refletida na abordagem do currículo, que inspira a imaginação dos alunos, incentivando-os a pensar como indivíduos e a engajar-se em criações orientadas pela imaginação. O currículo oferece cenários desafiadores que expandem as habilidades de pensamento e criatividade dos alunos, promovendo também um ambiente de ensino inovador que estimula a exploração do potencial criativo dos alunos.",EVID_QUENIA_Q06_KE_001_P0025_001,openai,3.0,rag-country-v3.2,2026-09-12T14:39:13.727070+00:00,candidate,
RESP_QUENIA_Q07_20260912T143913Z,RUN_QUENIA_20260912T143913Z,RUN_QUENIA_20260912T143913Z_Q07,Q07,C07,COMPUTING_AND_DIGITAL_EDUCATION,quenia,"Como os documentos abordam Inteligência Artificial, ética, privacidade, segurança e uso responsável das tecnologias digitais?","Os documentos abordam a importância da avaliação inclusiva e da acessibilidade às tecnologias digitais, destacando a necessidade de processos avaliativos que respeitem a diversidade e promovam a equidade entre estudantes.",EVID_QUENIA_Q07_KE_001_P0128_001; EVID_QUENIA_Q07_KE_001_P0116_002,openai,3.0,rag-country-v3.2,2026-09-12T14:39:13.727070+00:00,candidate,
RESP_QUENIA_Q08_20260912T143913Z,RUN_QUENIA_20260912T143913Z,RUN_QUENIA_20260912T143913Z_Q08,Q08,C08,COMPUTING_AND_DIGITAL_EDUCATION,quenia,"Como inclusão, acessibilidade e equidade digital são tratadas nos documentos?","A inclusão, acessibilidade e equidade digital são abordadas por meio da integração da literacia digital nos currículos, enfatizando a importância do uso de tecnologias da informação e comunicação (TIC) para o aprendizado. O currículo também promove a aplicação de habilidades digitais em diversas disciplinas, assegurando que todas as áreas de ensino integrem a literacia digital como um componente essencial, visando atender às necessidades individuais de aprendizagem.",EVID_QUENIA_Q08_KE_001_P0108_001; EVID_QUENIA_Q08_KE_001_P0025_002; EVID_QUENIA_Q08_KE_002_P0023_003,openai,3.0,rag-country-v3.2,2026-09-12T14:39:13.727070+00:00,candidate,
RESP_QUENIA_Q09_20260912T143913Z,RUN_QUENIA_20260912T143913Z,RUN_QUENIA_20260912T143913Z_Q09,Q09,C09,COMPUTING_AND_DIGITAL_EDUCATION,quenia,"Que equilíbrio existe entre dimensões técnicas da Computação e dimensões sociais, culturais, éticas e humanas da Educação Digital?","O equilíbrio entre dimensões técnicas da Computação e dimensões sociais, culturais, éticas e humanas da Educação Digital é promovido através de um currículo reformado que enfatiza tanto a inclusão quanto o uso da tecnologia para enriquecer práticas educacionais. O uso das Tecnologias da Informação e Comunicação (TIC) é considerado essencial para empoderar tanto professores quanto alunos, integrando informações digitais no processo de ensino para atender às necessidades individuais e coletivas dos alunos.",EVID_QUENIA_Q09_KE_001_P0132_001; EVID_QUENIA_Q09_KE_001_P0134_002,openai,3.0,rag-country-v3.2,2026-09-12T14:39:13.727070+00:00,candidate,
RESP_QUENIA_Q10_20260912T143913Z,RUN_QUENIA_20260912T143913Z,RUN_QUENIA_20260912T143913Z_Q10,Q10,C10,COMPUTING_AND_DIGITAL_EDUCATION,quenia,"Como pensamento crítico, autonomia e participação social são promovidos no currículo relacionado à Computação e Educação Digital?","O currículo promovido no Quênia enfatiza a importância do pensamento crítico, autonomia e participação social através de metodologias que incorporam aprendizado baseado na comunidade e a integração de habilidades digitais.",EVID_QUENIA_Q10_KE_001_P0132_001; EVID_QUENIA_Q10_KE_001_P0025_002; EVID_QUENIA_Q10_KE_002_P0022_003,openai,3.0,rag-country-v3.2,2026-09-12T14:39:13.727070+00:00,candidate,
