evidence_id,run_id,question_run_id,response_id,question_id,category_id,framework,country,document_id,document_title,page_start,page_end,chunk_id,source_language,source_text,translated_text_pt,translation_status,semantic_score,evidence_classification,validation_status,review_notes
EVID_EUA_Q01_US_001_P0082_001,RUN_EUA_20260912T142218Z,RUN_EUA_20260912T142218Z_Q01,RESP_EUA_Q01_20260912T142218Z,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,eua,US_001,K–12 Computer Science Framework,82,82,2,en,"Computational thinking is a fundamental skill for everyone, not just for computer scientists. To reading, writing, and arithmetic, we should add computational thinking to every child’s analytical ability (Wing, 2006, p. 33).","O pensamento computacional é uma habilidade fundamental para todos, não apenas para cientistas da computação. À leitura, escrita e aritmética, devemos adicionar o pensamento computacional à capacidade analítica de cada criança.",translated,,supportive,candidate,
EVID_EUA_Q01_US_001_P0080_002,RUN_EUA_20260912T142218Z,RUN_EUA_20260912T142218Z_Q01,RESP_EUA_Q01_20260912T142218Z,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,eua,US_001,K–12 Computer Science Framework,80,80,0,en,"The description of computational thinking in the K–12 Computer Science Framework extends beyond the general use of computers or technology in education to include specific skills such as designing algorithms, decomposing problems, and modeling phenomena.","A descrição do pensamento computacional no Framework de Computação K–12 vai além do uso geral de computadores ou tecnologia na educação para incluir habilidades específicas, como projetar algoritmos, decompor problemas e modelar fenômenos.",translated,,supportive,candidate,
EVID_EUA_Q02_US_001_P0079_001,RUN_EUA_20260912T142218Z,RUN_EUA_20260912T142218Z_Q02,RESP_EUA_Q02_20260912T142218Z,Q02,C02,COMPUTING_AND_DIGITAL_EDUCATION,eua,US_001,US_001__US_001.md,79,80,1,en,Computational thinking refers to the thought processes involved in expressing solutions as computational steps or algorithms that can be carried out by a computer.,O Pensamento Computacional refere-se aos processos de pensamento envolvidos na expressão de soluções como passos computacionais ou algoritmos que podem ser realizados por um computador.,translated,,definition,candidate,
EVID_EUA_Q02_US_001_P0021_002,RUN_EUA_20260912T142218Z,RUN_EUA_20260912T142218Z_Q02,RESP_EUA_Q02_20260912T142218Z,Q02,C02,COMPUTING_AND_DIGITAL_EDUCATION,eua,US_001,US_001__US_001.md,21,21,6,en,The most effective context and approach for developing computational thinking is learning computer science; they are intrinsically connected.,O contexto e a abordagem mais eficazes para desenvolver o Pensamento Computacional é o aprendizado da ciência da computação; eles estão intrinsecamente conectados.,translated,,development,candidate,
EVID_EUA_Q03_US_001_P0103_001,RUN_EUA_20260912T142218Z,RUN_EUA_20260912T142218Z_Q03,RESP_EUA_Q03_20260912T142218Z,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,eua,US_001,US_001__US_001.md,103,103,3,en,"Individuals and communities influence computing through their behaviors and cultural and social interactions, and in turn, computing influences new cultural practices. An informed and responsible person should understand the social implications of the digital world, including equity and access to computing. Culture Overview: Computing influences culture—including belief systems, language, relationships, technology, and institutions—and culture shapes how people engage with and access computing. In early grades, students learn how computing can be helpful and harmful.","Indivíduos e comunidades influenciam a computação através de seus comportamentos e interações culturais e sociais, e, por sua vez, a computação influencia novas práticas culturais. Uma pessoa informada e responsável deve entender as implicações sociais do mundo digital, incluindo equidade e acesso à computação. Visão geral da Cultura: A computação influencia a cultura—incluindo sistemas de crenças, linguagem, relacionamentos, tecnologia e instituições—e a cultura molda como as pessoas se envolvem e têm acesso à computação. Nos primeiros anos, os alunos aprendem como a computação pode ser útil e prejudicial.",translated,,cidadania digital e ética digital,candidate,
EVID_EUA_Q03_US_001_P0305_002,RUN_EUA_20260912T142218Z,RUN_EUA_20260912T142218Z_Q03,RESP_EUA_Q03_20260912T142218Z,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,eua,US_001,US_001__US_001.md,305,305,0,en,"In early grades, students learn the fundamentals of digital citizenship and appropriate use of digital media. As they progress, students learn about the legal and ethical issues that shape computing practices.","Nos primeiros anos, os alunos aprendem os fundamentos da cidadania digital e do uso apropriado da mídia digital. À medida que avançam, os alunos aprendem sobre as questões legais e éticas que moldam as práticas de computação.",translated,,cidadania digital e ética digital,candidate,
EVID_EUA_Q04_US_001_P0195_001,RUN_EUA_20260912T142218Z,RUN_EUA_20260912T142218Z_Q04,RESP_EUA_Q04_20260912T142218Z,Q04,C04,OECD_PISA,eua,US_001,K–12 Computer Science Framework,195,196,US_001_p0195_c001,en,"Social and Emotional Learning: Strong Affective, Behavioral, and Cognitive Competencies Provide the Foundation for Successful Learning and Development.","Aprendizado Social e Emocional: Fortes Competências Afetivas, Comportamentais e Cognitivas Fornecem a Base para o Sucesso no Aprendizado e Desenvolvimento.",translated,,supporting,candidate,
EVID_EUA_Q04_US_001_P0082_002,RUN_EUA_20260912T142218Z,RUN_EUA_20260912T142218Z_Q04,RESP_EUA_Q04_20260912T142218Z,Q04,C04,OECD_PISA,eua,US_001,K–12 Computer Science Framework,82,83,4,en,"Computational thinking is a fundamental skill for everyone, not just for computer scientists. To reading, writing, and arithmetic, we should add computational thinking to every child’s analytical ability.","O pensamento computacional é uma habilidade fundamental para todos, não apenas para cientistas da computação. À leitura, escrita e aritmética, devemos adicionar o pensamento computacional à capacidade analítica de cada criança.",translated,,supporting,candidate,
EVID_EUA_Q05_US_001_P0079_001,RUN_EUA_20260912T142218Z,RUN_EUA_20260912T142218Z_Q05,RESP_EUA_Q05_20260912T142218Z,Q05,C05,COMPUTING_AND_DIGITAL_EDUCATION,eua,US_001,K–12 Computer Science Framework,79,80,6,en,"Computational thinking is a fundamental skill for everyone, not just for computer scientists. To reading, writing, and arithmetic, we should add computational thinking to every child’s analytical ability (Wing, 2006, p. 33).","O pensamento computacional é uma habilidade fundamental para todos, não apenas para cientistas da computação. À leitura, escrita e aritmética, devemos adicionar o pensamento computacional à capacidade analítica de cada criança.",translated,,competência século XXI,candidate,
EVID_EUA_Q05_US_001_P0168_002,RUN_EUA_20260912T142218Z,RUN_EUA_20260912T142218Z_Q05,RESP_EUA_Q05_20260912T142218Z,Q05,C05,COMPUTING_AND_DIGITAL_EDUCATION,eua,US_001,K–12 Computer Science Framework,168,168,7,en,"Classrooms can infuse computer science into practically every other subject area, including mathematics, science, English language arts, world languages, social sciences, fine arts, service learning, health and physical education, and CTE programs.","As salas de aula podem infundir a ciência da computação em praticamente todas as outras áreas de disciplina, incluindo matemática, ciências, artes da linguagem em inglês, línguas estrangeiras, ciências sociais, artes, aprendizado de serviço, saúde e educação física, e programas de CTE.",translated,,integração de conteúdos,candidate,
