country,question_id,question_text,response,validation_status,evidence_count,evidence_ids,document_ids,pages,response_id,run_id,prompt_version,question_version
africa-do-sul,Q01,Como o país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,"O país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares através da integração de conceitos fundamentados em tecnologias da informação e comunicação, incentivando o pensamento crítico e a resolução de problemas por meio de tarefas práticas e teóricas.",candidate,2,EVID_AFRICA_DO_SUL_Q01_AF_ZA_01_P0034_001; EVID_AFRICA_DO_SUL_Q01_AF_ZA_02_P0005_002,AF-ZA-01; AF-ZA-02,AF-ZA-01:p34; AF-ZA-02:p5,RESP_AFRICA_DO_SUL_Q01_20260912T140454Z,RUN_AFRICA_DO_SUL_20260912T140454Z,rag-country-v3.2,3.0
australia,Q01,Como o país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,"A Austrália define e organiza as competências de Computação e Educação Digital em seus documentos curriculares através de sequências de habilidades e conteúdos que orientam o desenvolvimento dos alunos desde o ensino fundamental até o ensino médio. Essas sequências incluem a exploração de sistemas digitais, representações de dados, criação e uso de algoritmos, além de uso seguro de ferramentas digitais e conscientização sobre privacidade e segurança de dados.",candidate,3,EVID_AUSTRALIA_Q01_OC_AU_01_P0001_001; EVID_AUSTRALIA_Q01_OC_AU_02_P0001_002; EVID_AUSTRALIA_Q01_OC_AU_02_P0002_003,OC-AU-01; OC-AU-02,OC-AU-01:p1; OC-AU-02:p1; OC-AU-02:p2,RESP_AUSTRALIA_Q01_20260912T140702Z,RUN_AUSTRALIA_20260912T140702Z,rag-country-v3.2,3.0
brasil,Q01,Como o país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,"O Brasil define e organiza as competências de Computação e Educação Digital em seus documentos curriculares através da Base Nacional Comum Curricular (BNCC) e de diretrizes estabelecidas pelo Conselho Nacional de Educação (CNE). Essas diretrizes incluem o desenvolvimento de competências relacionadas ao uso de dispositivos digitais e à compreensão de algoritmos e mídias digitais, além de um enfoque em educação midiática, ética e cidadania digital.",candidate,3,EVID_BRASIL_Q01_BR_008_P0029_001; EVID_BRASIL_Q01_BR_012_P0015_002; EVID_BRASIL_Q01_BR_008_P0012_003,BR_008; BR_012,BR_008:p29; BR_012:p15; BR_008:p12,RESP_BRASIL_Q01_20260912T140932Z,RUN_BRASIL_20260912T140932Z,rag-country-v3.2,3.0
canada,Q01,Como o país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,"As competências de Computação e Educação Digital no Canadá são organizadas em documentos curriculares que abordam a resolução de problemas, a criatividade e a ética digital, refletindo uma mudança para uma aprendizagem mais prática e interativa.",candidate,2,EVID_CANADA_Q01_CA_001_P0002_001; EVID_CANADA_Q01_CA_001_P0002_002,CA_001,CA_001:p2-4; CA_001:p2-4,RESP_CANADA_Q01_20260912T141201Z,RUN_CANADA_20260912T141201Z,rag-country-v3.2,3.0
chile,Q01,Como o país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,"O Chile define e organiza as competências de Computação e Educação Digital em seus documentos curriculares através das Bases Curriculares, que estabelecem objetivos gerais de aprendizagem e permitem uma formação integral dos estudantes. As competências são definidas em relação à tecnologia da informação, visando que os alunos usem a tecnologia de forma reflexiva e eficaz para obter, processar e comunicar informações.",candidate,2,EVID_CHILE_Q01_CL_003_P0019_001; EVID_CHILE_Q01_CL_002_P0018_002,CL_002; CL_003,CL_003:p19; CL_002:p18,RESP_CHILE_Q01_20260912T141439Z,RUN_CHILE_20260912T141439Z,rag-country-v3.2,3.0
china,Q01,Como o país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,"A China define e organiza as competências de Computação e Educação Digital em seus documentos curriculares buscando integrar a tecnologia no processo de ensino-aprendizagem, enfatizando a colaboração e a segurança da informação. O foco está na formação de competências digitais e na utilização de plataformas e ferramentas digitais, promovendo um aprendizado autodirigido e colaborativo.",candidate,3,EVID_CHINA_Q01_AS_CN_02_P0001_001; EVID_CHINA_Q01_AS_CN_01_P0030_002; EVID_CHINA_Q01_AS_CN_02_P0003_003,AS-CN-01; AS-CN-02,AS-CN-02:p1; AS-CN-01:p30; AS-CN-02:p3,RESP_CHINA_Q01_20260912T141700Z,RUN_CHINA_20260912T141700Z,rag-country-v3.2,3.0
coreia-do-sul,Q01,Como o país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,"A Coreia do Sul organiza as competências de Computação e Educação Digital em seus documentos curriculares através de um sistema que promove a coleta e análise de dados de aprendizado, a construção de mapas de aprendizado e a criação de uma plataforma de distribuição de conteúdo. A abordagem se concentra na personalização da educação por meio de tecnologias digitais e no desenvolvimento de habilidades de TIC em vários níveis de ensino.",candidate,3,EVID_COREIA_DO_SUL_Q01_KR_001_P0137_001; EVID_COREIA_DO_SUL_Q01_KR_001_P0138_002; EVID_COREIA_DO_SUL_Q01_KR_001_P0050_003,KR_001,KR_001:p137-138; KR_001:p138; KR_001:p50-51,RESP_COREIA_DO_SUL_Q01_20260912T141943Z,RUN_COREIA_DO_SUL_20260912T141943Z,rag-country-v3.2,3.0
estonia,Q01,Como o país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,"A Estônia organiza as competências de Computação e Educação Digital dentro de seu currículo escolar, focando em temas como segurança na internet, utilização de tecnologias digitais, e desenvolvimento de habilidades para a criação e gestão de um ambiente de aprendizagem digital. Os alunos aprendem sobre programação, e como usar e proteger sua identidade digital.",candidate,3,EVID_ESTONIA_Q01_EU_EE_02_P0007_001; EVID_ESTONIA_Q01_EU_EE_02_P0009_002; EVID_ESTONIA_Q01_EU_EE_02_P0009_003,EU-EE-02,EU-EE-02:p7; EU-EE-02:p9; EU-EE-02:p9,RESP_ESTONIA_Q01_20260912T135902Z,RUN_ESTONIA_20260912T135902Z,rag-country-v3.2,3.0
eua,Q01,Como o país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,"As competências de Computação e Educação Digital nos EUA são definidas através do pensamento computacional, que é uma habilidade essencial para todos, não apenas para cientistas da computação. O Framework de Computação K–12 enfatiza que o pensamento computacional deve ser adicionado às habilidades analíticas de todas as crianças, abrangendo aspectos como modelagem, elaboração de abstrações e criação de artefatos computacionais.",candidate,2,EVID_EUA_Q01_US_001_P0082_001; EVID_EUA_Q01_US_001_P0080_002,US_001,US_001:p82; US_001:p80,RESP_EUA_Q01_20260912T142218Z,RUN_EUA_20260912T142218Z,rag-country-v3.2,3.0
finlandia,Q01,Como o país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,"O país organiza as competências de Computação e Educação Digital em sua nova currícula central. As competências transversais incluem a 'competência em TIC', que é uma parte fundamental das habilidades necessárias para a vida cotidiana e para o futuro sustentável. Os módulos de aprendizagem multidisciplinares são obrigatórios e devem integrar diferentes disciplinas, envolvendo os alunos no planejamento, promovendo o diálogo e a colaboração.",candidate,2,EVID_FINLANDIA_Q01_FI_001_P0001_001; EVID_FINLANDIA_Q01_FI_001_P0002_002,FI_001,FI_001:p1; FI_001:p2,RESP_FINLANDIA_Q01_20260912T142441Z,RUN_FINLANDIA_20260912T142441Z,rag-country-v3.2,3.0
