response_id,run_id,question_run_id,question_id,category_id,framework,country,question_text,response,evidence_ids,backend,question_version,prompt_version,run_date,validation_status,review_notes
RESP_GANA_Q01_20260912T142704Z,RUN_GANA_20260912T142704Z,RUN_GANA_20260912T142704Z_Q01,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,gana,Como o país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,"O país organiza as competências de Computação e Educação Digital em seus documentos curriculares por meio de diversos padrões de conteúdo e competências essenciais. As competências incluem 'Criatividade e Inovação', 'Comunicação e Colaboração', 'Cidadania Cultural e Global', 'Desenvolvimento Pessoal e Liderança', e 'Literacia Digital'. Cada uma dessas competências está acompanhada por práticas específicas que os alunos devem demonstrar em diferentes contextos, como o uso de tecnologias de informação e comunicação, programação e segurança da informação.",EVID_GANA_Q01_GH_001_P0032_001; EVID_GANA_Q01_GH_001_P0057_002; EVID_GANA_Q01_GH_002_P0025_003,openai,3.0,rag-country-v3.2,2026-09-12T14:27:04.117739+00:00,candidate,
RESP_GANA_Q02_20260912T142704Z,RUN_GANA_20260912T142704Z,RUN_GANA_20260912T142704Z_Q02,Q02,C02,COMPUTING_AND_DIGITAL_EDUCATION,gana,"Como o Pensamento Computacional é definido, desenvolvido ou incorporado ao currículo do país?","O Pensamento Computacional é abordado no currículo de Gana por meio do ensino de programação e habilidades de resolução de problemas, com ênfase em competências como criatividade e inovação.",EVID_GANA_Q02_GH_001_P0082_001; EVID_GANA_Q02_GH_002_P0002_002,openai,3.0,rag-country-v3.2,2026-09-12T14:27:04.117739+00:00,candidate,
RESP_GANA_Q03_20260912T142704Z,RUN_GANA_20260912T142704Z,RUN_GANA_20260912T142704Z_Q03,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,gana,"Como os documentos abordam cidadania digital, ética digital e letramento midiático?","Os documentos abordam cidadania digital, ética digital e letramento midiático por meio da promoção de conhecimentos, habilidades e atitudes necessárias para interagir de forma segura e eficaz em ambientes digitais. Eles enfatizam a importância da avaliação crítica das informações, o respeito à privacidade e a responsabilidade no uso das tecnologias.",EVID_GANA_Q03_GH_001_P0064_001; EVID_GANA_Q03_GH_001_P0092_002; EVID_GANA_Q03_GH_002_P0049_003,openai,3.0,rag-country-v3.2,2026-09-12T14:27:04.117739+00:00,candidate,
RESP_GANA_Q04_20260912T142704Z,RUN_GANA_20260912T142704Z,RUN_GANA_20260912T142704Z_Q04,Q04,C04,OECD_PISA,gana,Que evidências apresentam convergência com princípios ou dimensões presentes nos referenciais UNESCO e OECD/PISA?,"A documentação evidencia princípios de digital literacy, comunicação e colaboração, que estão alinhados com os referenciais da UNESCO e OECD/PISA.",EVID_GANA_Q04_GH_001_P0080_001; EVID_GANA_Q04_GH_001_P0079_002,openai,3.0,rag-country-v3.2,2026-09-12T14:27:04.117739+00:00,candidate,
RESP_GANA_Q05_20260912T142704Z,RUN_GANA_20260912T142704Z,RUN_GANA_20260912T142704Z_Q05,Q05,C05,COMPUTING_AND_DIGITAL_EDUCATION,gana,Quais competências associadas ao século XXI aparecem nos documentos curriculares?,"As competências associadas ao século XXI nos documentos curriculares incluem: Criatividade e Inovação, Comunicação e Colaboração, Cidadania Cultural e Global, Desenvolvimento Pessoal e Liderança, e Alfabetização Digital.",EVID_GANA_Q05_GH_002_P0025_001; EVID_GANA_Q05_GH_001_P0088_002,openai,3.0,rag-country-v3.2,2026-09-12T14:27:04.117739+00:00,candidate,
RESP_GANA_Q06_20260912T142704Z,RUN_GANA_20260912T142704Z,RUN_GANA_20260912T142704Z_Q06,Q06,C06,COMPUTING_AND_DIGITAL_EDUCATION,gana,"Como colaboração, criatividade e resolução de problemas são incorporadas às competências e práticas curriculares?","O currículo promove a colaboração através da ênfase em ambientes de trabalho e aprendizagem orientados para o trabalho em equipe, incentivando uma atitude de respeito e tolerância entre os alunos. A criatividade é encorajada através do pensamento crítico e da utilização de tecnologia contemporânea, permitindo que os alunos expressam inovações. A resolução de problemas é abordada pela identificação de problemas na comunidade que podem ser solucionados com o uso de tecnologia.",EVID_GANA_Q06_GH_002_P0013_001; EVID_GANA_Q06_GH_002_P0013_002; EVID_GANA_Q06_GH_001_P0071_003,openai,3.0,rag-country-v3.2,2026-09-12T14:27:04.117739+00:00,candidate,
RESP_GANA_Q07_20260912T142704Z,RUN_GANA_20260912T142704Z,RUN_GANA_20260912T142704Z_Q07,Q07,C07,COMPUTING_AND_DIGITAL_EDUCATION,gana,"Como os documentos abordam Inteligência Artificial, ética, privacidade, segurança e uso responsável das tecnologias digitais?","Os documentos abordam questões de segurança da informação, destacando a importância da confidencialidade, integridade e disponibilidade dos dados. Há também discussões sobre a ética no uso da informação e as implicações legais relacionadas aos direitos de propriedade intelectual.",EVID_GANA_Q07_GH_001_P0001_001; EVID_GANA_Q07_GH_001_P0048_002,openai,3.0,rag-country-v3.2,2026-09-12T14:27:04.117739+00:00,candidate,
RESP_GANA_Q08_20260912T142704Z,RUN_GANA_20260912T142704Z,RUN_GANA_20260912T142704Z_Q08,Q08,C08,COMPUTING_AND_DIGITAL_EDUCATION,gana,"Como inclusão, acessibilidade e equidade digital são tratadas nos documentos?","A inclusão, acessibilidade e equidade digital são abordadas ao enfatizar o desenvolvimento de competências digitais e a promoção de um ambiente de aprendizagem adaptado às necessidades individuais dos alunos.",EVID_GANA_Q08_GH_002_P0007_001; EVID_GANA_Q08_GH_002_P0030_002,openai,3.0,rag-country-v3.2,2026-09-12T14:27:04.117739+00:00,candidate,
RESP_GANA_Q09_20260912T142704Z,RUN_GANA_20260912T142704Z,RUN_GANA_20260912T142704Z_Q09,Q09,C09,COMPUTING_AND_DIGITAL_EDUCATION,gana,"Que equilíbrio existe entre dimensões técnicas da Computação e dimensões sociais, culturais, éticas e humanas da Educação Digital?","O equilíbrio entre as dimensões técnicas da Computação e as dimensões sociais, culturais, éticas e humanas da Educação Digital é promovido através do desenvolvimento de competências como a comunicação e colaboração, identidade cultural e cidadania global. Essas competências encorajam os alunos a reconhecer as interações sociais e culturais dentro do contexto digital, promovendo a responsabilidade social e a ética no uso da tecnologia.",EVID_GANA_Q09_GH_001_P0026_001; EVID_GANA_Q09_GH_002_P0072_002,openai,3.0,rag-country-v3.2,2026-09-12T14:27:04.117739+00:00,candidate,
RESP_GANA_Q10_20260912T142704Z,RUN_GANA_20260912T142704Z,RUN_GANA_20260912T142704Z_Q10,Q10,C10,COMPUTING_AND_DIGITAL_EDUCATION,gana,"Como pensamento crítico, autonomia e participação social são promovidos no currículo relacionado à Computação e Educação Digital?","O currículo promove pensamento crítico, autonomia e participação social ao incentivar a colaboração, o respeito às opiniões dos outros e o desenvolvimento de habilidades de comunicação.",EVID_GANA_Q10_GH_002_P0008_001; EVID_GANA_Q10_GH_001_P0025_002,openai,3.0,rag-country-v3.2,2026-09-12T14:27:04.117739+00:00,candidate,
RESP_GANA_Q11_20260912T142704Z,RUN_GANA_20260912T142704Z,RUN_GANA_20260912T142704Z_Q11,Q11,C11,UNESCO_GCED_2015,gana,Que elementos relacionados à cidadania global aparecem nos documentos curriculares?,"Os documentos curriculares abordam a cidadania global por meio do desenvolvimento de competências que promovem a identidade cultural e o engajamento cívico, enfatizando a contribuição para o desenvolvimento socioeconômico local e global.",EVID_GANA_Q11_GH_001_P0090_001; EVID_GANA_Q11_GH_002_P0043_002,openai,3.0,rag-country-v3.2,2026-09-12T14:27:04.117739+00:00,candidate,
RESP_GANA_Q12_20260912T142704Z,RUN_GANA_20260912T142704Z,RUN_GANA_20260912T142704Z_Q12,Q12,C12,COMPUTING_AND_DIGITAL_EDUCATION,gana,"Como a formação, atuação ou desenvolvimento profissional docente para Computação e Educação Digital são abordados?","A formação e desenvolvimento profissional docente para Computação e Educação Digital em Gana incluem o uso de Tecnologias da Informação e Comunicação (TIC) como ferramentas de ensino e aprendizado. A abordagem didática incentiva a exposição dos alunos a diversas ferramentas TIC, como softwares e dispositivos tecnológicos, para aumentar a confiança e a motivação para o uso das TIC na educação.",EVID_GANA_Q12_GH_001_P0025_001; EVID_GANA_Q12_GH_002_P0005_002,openai,3.0,rag-country-v3.2,2026-09-12T14:27:04.117739+00:00,candidate,
RESP_GANA_Q13_20260912T142704Z,RUN_GANA_20260912T142704Z,RUN_GANA_20260912T142704Z_Q13,Q13,C13,COMPUTING_AND_DIGITAL_EDUCATION,gana,"Quais eixos, conceitos e competências aparecem de forma recorrente nos documentos analisados do país?","Os documentos analisados do Gana mencionam de forma recorrente os seguintes eixos, conceitos e competências: Comunicação e Colaboração, Criatividade e Inovação, Identidade Cultural e Cidadania Global, Desenvolvimento Pessoal e Liderança, e Alfabetização Digital.",EVID_GANA_Q13_GH_001_P0025_001; EVID_GANA_Q13_GH_001_P0088_002,openai,3.0,rag-country-v3.2,2026-09-12T14:27:04.117739+00:00,candidate,
