evidence_id,run_id,question_run_id,response_id,question_id,category_id,framework,country,document_id,document_title,page_start,page_end,chunk_id,source_language,source_text,translated_text_pt,translation_status,semantic_score,evidence_classification,validation_status,review_notes
EVID_NOVA_ZELANDIA_Q01_NZ_001_P0012_001,RUN_NOVA_ZELANDIA_20260912T143655Z,RUN_NOVA_ZELANDIA_20260912T143655Z_Q01,RESP_NOVA_ZELANDIA_Q01_20260912T143655Z,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,nova-zelandia,NZ_001,NZ_001__NZ_001.md,12,14,NZ_001_p0012_c001,en,"Each school is required to have its own Technology Curriculum. Teachers will plan ways to link across the strands and technological areas – and look for cross-curricular learning opportunities as well – accessing relevant knowledge and skills from other learning areas to build on their developing key competencies. The five technological areas provide contexts for technology learning and are also inter-related. By offering a variety of contexts, teachers help their students to recognise links between technological areas. Two of the five technological areas are digital technologies – designing and developing digital outcomes 'DDDO' and computational thinking for digital technologies 'CT', and are supported with 'progress outcomes'.","Cada escola é obrigada a ter seu próprio Currículo de Tecnologia. Os professores planejarão maneiras de conectar os domínios e áreas tecnológicas – e buscarão oportunidades de aprendizado interdisciplinares também – acessando conhecimentos e habilidades relevantes de outras áreas de aprendizado para construir suas competências-chave em desenvolvimento. As cinco áreas tecnológicas fornecem contextos para o aprendizado em tecnologia e também são inter-relacionadas. Ao oferecer uma variedade de contextos, os professores ajudam seus alunos a reconhecer conexões entre as áreas tecnológicas. Duas das cinco áreas tecnológicas são as tecnologias digitais – projetando e desenvolvendo resultados digitais 'DDDO' e pensamento computacional para tecnologias digitais 'CT', e são suportadas por 'resultados de progresso'.",translated,,documentary,candidate,
EVID_NOVA_ZELANDIA_Q02_NZ_001_P0014_001,RUN_NOVA_ZELANDIA_20260912T143655Z,RUN_NOVA_ZELANDIA_20260912T143655Z_Q02,RESP_NOVA_ZELANDIA_Q02_20260912T143655Z,Q02,C02,COMPUTING_AND_DIGITAL_EDUCATION,nova-zelandia,NZ_001,NZ_001__NZ_001.md,14,14,1,en,"The goal is to make sure that by the end of year 10, students have progressed their learning to progress outcome 5 for Computational thinking for digital technologies.","O objetivo é garantir que, ao final do ano 10, os alunos tenham avançado seu aprendizado para o resultado progressivo 5 em Pensamento Computacional para tecnologias digitais.",translated,,support,candidate,
EVID_NOVA_ZELANDIA_Q02_NZ_001_P0004_002,RUN_NOVA_ZELANDIA_20260912T143655Z,RUN_NOVA_ZELANDIA_20260912T143655Z_Q02,RESP_NOVA_ZELANDIA_Q02_20260912T143655Z,Q02,C02,COMPUTING_AND_DIGITAL_EDUCATION,nova-zelandia,NZ_001,NZ_001__NZ_001.md,4,4,6,en,It is not something that is expected to be taught in isolation but rather integrated into an authentic learning context.,"Não é algo que se espera que seja ensinado isoladamente, mas sim integrado em um contexto de aprendizado autêntico.",translated,,support,candidate,
EVID_NOVA_ZELANDIA_Q03_NZ_001_P0010_001,RUN_NOVA_ZELANDIA_20260912T143655Z,RUN_NOVA_ZELANDIA_20260912T143655Z_Q03,RESP_NOVA_ZELANDIA_Q03_20260912T143655Z,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,nova-zelandia,NZ_001,NZ_001__NZ_001.md,10,10,chunk_5,en,"Teachers create learning experiences that connect ideas across the breadth of the curriculum. This includes teaching technology across learning areas and simultaneously developing key competencies: managing self, relating to others, participating and contributing, thinking, and using language, symbols and texts.","Os educadores criam experiências de aprendizado que conectam ideias em toda a amplitude do currículo. Isso inclui o ensino de tecnologia em áreas de aprendizado e o desenvolvimento simultâneo de competências-chave: gerenciar a si mesmo, relacionar-se com os outros, participar e contribuir, pensar e usar linguagem, símbolos e textos.",translated,,candidate,candidate,
EVID_NOVA_ZELANDIA_Q03_NZ_001_P0004_002,RUN_NOVA_ZELANDIA_20260912T143655Z,RUN_NOVA_ZELANDIA_20260912T143655Z_Q03,RESP_NOVA_ZELANDIA_Q03_20260912T143655Z,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,nova-zelandia,NZ_001,NZ_001__NZ_001.md,4,4,chunk_1,en,A digitally fluent person can decide when and why to use specific digital technologies to achieve a specific task or solve problems.,Uma pessoa digitalmente fluente pode decidir quando e por que usar tecnologias digitais específicas para atingir uma tarefa específica ou resolver problemas.,translated,,candidate,candidate,
EVID_NOVA_ZELANDIA_Q04_NZ_001_P0010_001,RUN_NOVA_ZELANDIA_20260912T143655Z,RUN_NOVA_ZELANDIA_20260912T143655Z_Q04,RESP_NOVA_ZELANDIA_Q04_20260912T143655Z,Q04,C04,OECD_PISA,nova-zelandia,NZ_001,NZ_001__NZ_001.md,10,10,1,en,"Teachers create learning experiences that connect ideas across the breadth of the curriculum. This includes teaching technology across learning areas and simultaneously developing key competencies: managing self, relating to others, participating and contributing, thinking, and using language, symbols and texts.","Os professores criam experiências de aprendizagem que conectam ideias em toda a amplitude do currículo. Isso inclui ensinar tecnologia em várias áreas de aprendizagem e desenvolver simultaneamente competências essenciais: autogestão, relacionamento com os outros, participação e contribuição, pensamento, e uso de linguagem, símbolos e textos.",translated,,support,candidate,
EVID_NOVA_ZELANDIA_Q04_NZ_001_P0012_002,RUN_NOVA_ZELANDIA_20260912T143655Z,RUN_NOVA_ZELANDIA_20260912T143655Z_Q04,RESP_NOVA_ZELANDIA_Q04_20260912T143655Z,Q04,C04,OECD_PISA,nova-zelandia,NZ_001,NZ_001__NZ_001.md,12,12,2,pt,O currículo da Nova Zelândia visa desenvolver competências-chave que apoiam todos os estudantes a se tornarem aprendizes ativos e envolvidos ao longo da vida.,O currículo da Nova Zelândia visa desenvolver competências-chave que suportam todos os estudantes a se tornarem aprendizes ativos e envolvidos ao longo da vida.,not_needed,,support,candidate,
EVID_NOVA_ZELANDIA_Q05_NZ_001_P0014_001,RUN_NOVA_ZELANDIA_20260912T143655Z,RUN_NOVA_ZELANDIA_20260912T143655Z_Q05,RESP_NOVA_ZELANDIA_Q05_20260912T143655Z,Q05,C05,COMPUTING_AND_DIGITAL_EDUCATION,nova-zelandia,NZ_001,NZ_001__NZ_001.md,14,14,1,en,"The goals is to make sure that by the end of year 10, students have progressed their learning to progress outcome 5 for Computational thinking for digital technologies and progress outcome 3 for Designing and developing digital outcomes.","O objetivo é garantir que até o final do ano 10, os alunos tenham progredido em seu aprendizado para alcançar o resultado 5 para o Pensamento computacional para tecnologias digitais e o resultado 3 para Projetar e desenvolver resultados digitais.",translated,,curricular_competence,candidate,
EVID_NOVA_ZELANDIA_Q05_NZ_001_P0010_002,RUN_NOVA_ZELANDIA_20260912T143655Z,RUN_NOVA_ZELANDIA_20260912T143655Z_Q05,RESP_NOVA_ZELANDIA_Q05_20260912T143655Z,Q05,C05,COMPUTING_AND_DIGITAL_EDUCATION,nova-zelandia,NZ_001,NZ_001__NZ_001.md,10,10,1,en,"Teachers create learning experiences that connect ideas across the breadth of the curriculum. This includes teaching technology across learning areas and simultaneously developing key competencies: managing self, relating to others, participating and contributing, thinking, and using language, symbols and texts.","Os professores criam experiências de aprendizado que conectam ideias por toda a extensão do currículo. Isso inclui ensinar tecnologia em áreas de aprendizado e, simultaneamente, desenvolver competências-chave: gerenciar a si mesmo, relacionar-se com os outros, participar e contribuir, pensar, e usar linguagem, símbolos e textos.",translated,,curricular_competence,candidate,
EVID_NOVA_ZELANDIA_Q06_NZ_001_P0008_001,RUN_NOVA_ZELANDIA_20260912T143655Z,RUN_NOVA_ZELANDIA_20260912T143655Z_Q06,RESP_NOVA_ZELANDIA_Q06_20260912T143655Z,Q06,C06,COMPUTING_AND_DIGITAL_EDUCATION,nova-zelandia,NZ_001,NZ_001__NZ_001.md,8,8,7,en,"Teachers create learning experiences that connect ideas across the breadth of the curriculum. This includes teaching technology across learning areas and simultaneously developing key competencies: managing self, relating to others, participating and contributing, thinking, and using language, symbols and texts.","Os professores criam experiências de aprendizado que conectam ideias em toda a extensão do currículo. Isso inclui o ensino de tecnologia em diferentes áreas de aprendizado e, simultaneamente, o desenvolvimento de competências-chave: gerenciar-se, relacionar-se com os outros, participar e contribuir, pensar e usar linguagem, símbolos e textos.",translated,,supportive,candidate,
