run_id,question_run_id,response_id,question_id,country,timestamp,framework,category_id,question_version,prompt_version,backend,status,number_of_evidences
RUN_TAIWAN_20260912T145057Z,RUN_TAIWAN_20260912T145057Z_Q01,RESP_TAIWAN_Q01_20260912T145057Z,Q01,taiwan,2026-09-12T14:51:07.797954+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C01,3.0,rag-country-v3.2,openai,executed,3
RUN_TAIWAN_20260912T145057Z,RUN_TAIWAN_20260912T145057Z_Q02,RESP_TAIWAN_Q02_20260912T145057Z,Q02,taiwan,2026-09-12T14:51:16.254342+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C02,3.0,rag-country-v3.2,openai,executed,2
RUN_TAIWAN_20260912T145057Z,RUN_TAIWAN_20260912T145057Z_Q03,RESP_TAIWAN_Q03_20260912T145057Z,Q03,taiwan,2026-09-12T14:51:26.278294+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C03,3.0,rag-country-v3.2,openai,executed,2
RUN_TAIWAN_20260912T145057Z,RUN_TAIWAN_20260912T145057Z_Q04,RESP_TAIWAN_Q04_20260912T145057Z,Q04,taiwan,2026-09-12T14:51:31.929821+00:00,OECD_PISA,C04,3.0,rag-country-v3.2,openai,executed,2
RUN_TAIWAN_20260912T145057Z,RUN_TAIWAN_20260912T145057Z_Q05,RESP_TAIWAN_Q05_20260912T145057Z,Q05,taiwan,2026-09-12T14:51:40.010176+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C05,3.0,rag-country-v3.2,openai,executed,4
RUN_TAIWAN_20260912T145057Z,RUN_TAIWAN_20260912T145057Z_Q06,RESP_TAIWAN_Q06_20260912T145057Z,Q06,taiwan,2026-09-12T14:51:46.344048+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C06,3.0,rag-country-v3.2,openai,executed,3
RUN_TAIWAN_20260912T145057Z,RUN_TAIWAN_20260912T145057Z_Q07,RESP_TAIWAN_Q07_20260912T145057Z,Q07,taiwan,2026-09-12T14:51:53.374812+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C07,3.0,rag-country-v3.2,openai,executed,2
RUN_TAIWAN_20260912T145057Z,RUN_TAIWAN_20260912T145057Z_Q08,RESP_TAIWAN_Q08_20260912T145057Z,Q08,taiwan,2026-09-12T14:52:00.017241+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C08,3.0,rag-country-v3.2,openai,executed,3
RUN_TAIWAN_20260912T145057Z,RUN_TAIWAN_20260912T145057Z_Q09,RESP_TAIWAN_Q09_20260912T145057Z,Q09,taiwan,2026-09-12T14:52:11.949046+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C09,3.0,rag-country-v3.2,openai,executed,3
RUN_TAIWAN_20260912T145057Z,RUN_TAIWAN_20260912T145057Z_Q10,RESP_TAIWAN_Q10_20260912T145057Z,Q10,taiwan,2026-09-12T14:52:20.545483+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C10,3.0,rag-country-v3.2,openai,executed,3
RUN_TAIWAN_20260912T145057Z,RUN_TAIWAN_20260912T145057Z_Q11,RESP_TAIWAN_Q11_20260912T145057Z,Q11,taiwan,2026-09-12T14:52:26.512779+00:00,UNESCO_GCED_2015,C11,3.0,rag-country-v3.2,openai,executed,2
RUN_TAIWAN_20260912T145057Z,RUN_TAIWAN_20260912T145057Z_Q12,RESP_TAIWAN_Q12_20260912T145057Z,Q12,taiwan,2026-09-12T14:52:34.148112+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C12,3.0,rag-country-v3.2,openai,executed,2
RUN_TAIWAN_20260912T145057Z,RUN_TAIWAN_20260912T145057Z_Q13,RESP_TAIWAN_Q13_20260912T145057Z,Q13,taiwan,2026-09-12T14:52:39.066393+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C13,3.0,rag-country-v3.2,openai,executed,1
