run_id,question_run_id,response_id,question_id,country,timestamp,framework,category_id,question_version,prompt_version,backend,status,number_of_evidences
RUN_QUENIA_20260912T143913Z,RUN_QUENIA_20260912T143913Z_Q01,RESP_QUENIA_Q01_20260912T143913Z,Q01,quenia,2026-09-12T14:39:23.584045+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C01,3.0,rag-country-v3.2,openai,executed,2
RUN_QUENIA_20260912T143913Z,RUN_QUENIA_20260912T143913Z_Q02,RESP_QUENIA_Q02_20260912T143913Z,Q02,quenia,2026-09-12T14:39:32.199867+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C02,3.0,rag-country-v3.2,openai,executed,2
RUN_QUENIA_20260912T143913Z,RUN_QUENIA_20260912T143913Z_Q03,RESP_QUENIA_Q03_20260912T143913Z,Q03,quenia,2026-09-12T14:39:39.418325+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C03,3.0,rag-country-v3.2,openai,executed,2
RUN_QUENIA_20260912T143913Z,RUN_QUENIA_20260912T143913Z_Q04,RESP_QUENIA_Q04_20260912T143913Z,Q04,quenia,2026-09-12T14:39:44.310458+00:00,OECD_PISA,C04,3.0,rag-country-v3.2,openai,executed,1
RUN_QUENIA_20260912T143913Z,RUN_QUENIA_20260912T143913Z_Q05,RESP_QUENIA_Q05_20260912T143913Z,Q05,quenia,2026-09-12T14:39:50.041807+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C05,3.0,rag-country-v3.2,openai,executed,1
RUN_QUENIA_20260912T143913Z,RUN_QUENIA_20260912T143913Z_Q06,RESP_QUENIA_Q06_20260912T143913Z,Q06,quenia,2026-09-12T14:39:55.651176+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C06,3.0,rag-country-v3.2,openai,executed,1
RUN_QUENIA_20260912T143913Z,RUN_QUENIA_20260912T143913Z_Q07,RESP_QUENIA_Q07_20260912T143913Z,Q07,quenia,2026-09-12T14:40:03.086797+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C07,3.0,rag-country-v3.2,openai,executed,2
RUN_QUENIA_20260912T143913Z,RUN_QUENIA_20260912T143913Z_Q08,RESP_QUENIA_Q08_20260912T143913Z,Q08,quenia,2026-09-12T14:40:10.704583+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C08,3.0,rag-country-v3.2,openai,executed,3
RUN_QUENIA_20260912T143913Z,RUN_QUENIA_20260912T143913Z_Q09,RESP_QUENIA_Q09_20260912T143913Z,Q09,quenia,2026-09-12T14:40:17.942565+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C09,3.0,rag-country-v3.2,openai,executed,2
RUN_QUENIA_20260912T143913Z,RUN_QUENIA_20260912T143913Z_Q10,RESP_QUENIA_Q10_20260912T143913Z,Q10,quenia,2026-09-12T14:40:25.744089+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C10,3.0,rag-country-v3.2,openai,executed,3
RUN_QUENIA_20260912T143913Z,RUN_QUENIA_20260912T143913Z_Q11,RESP_QUENIA_Q11_20260912T143913Z,Q11,quenia,2026-09-12T14:40:31.623751+00:00,UNESCO_GCED_2015,C11,3.0,rag-country-v3.2,openai,executed,1
RUN_QUENIA_20260912T143913Z,RUN_QUENIA_20260912T143913Z_Q12,RESP_QUENIA_Q12_20260912T143913Z,Q12,quenia,2026-09-12T14:40:38.382358+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C12,3.0,rag-country-v3.2,openai,executed,2
RUN_QUENIA_20260912T143913Z,RUN_QUENIA_20260912T143913Z_Q13,RESP_QUENIA_Q13_20260912T143913Z,Q13,quenia,2026-09-12T14:40:44.734449+00:00,COMPUTING_AND_DIGITAL_EDUCATION,C13,3.0,rag-country-v3.2,openai,executed,1
