evidence_id,run_id,question_run_id,response_id,question_id,category_id,framework,country,document_id,document_title,page_start,page_end,chunk_id,source_language,source_text,translated_text_pt,translation_status,semantic_score,evidence_classification,validation_status,review_notes
EVID_SUICA_Q01_CH_001_P0001_001,RUN_SUICA_20260912T144840Z,RUN_SUICA_20260912T144840Z_Q01,RESP_SUICA_Q01_20260912T144840Z,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,suica,CH_001,CH_001__CH_001.md,1,1,1,fr,"Rechercher, analyser, évaluer l'information et créer des contenus médiatiques à l’aide d’outils adéquats, de manière citoyenne et responsable.","Pesquisar, analisar, avaliar a informação e criar conteúdos midiáticos com ferramentas adequadas, de forma cidadã e responsável.",translated,,curricular,candidate,
EVID_SUICA_Q01_CH_003_P0011_002,RUN_SUICA_20260912T144840Z,RUN_SUICA_20260912T144840Z_Q01,RESP_SUICA_Q01_20260912T144840Z,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,suica,CH_003,CH_003__CH_003.md,11,11,0,de,"Die Schülerinnen und Schüler ... können Geräte ein- und ausschalten, Programme starten und beenden, einfache Funktionen nutzen, sich mit dem eigenen Login anmelden.","Os alunos podem ligar e desligar dispositivos, iniciar e encerrar programas, utilizar funções simples e se cadastrar com seu próprio login.",translated,,curricular,candidate,
EVID_SUICA_Q01_CH_003_P0012_003,RUN_SUICA_20260912T144840Z,RUN_SUICA_20260912T144840Z_Q01,RESP_SUICA_Q01_20260912T144840Z,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,suica,CH_003,CH_003__CH_003.md,12,12,1,de,"können Programme mit Schleifen, bedingten Anweisungen und Parametern schreiben und testen.","podem escrever e testar programas com loops, instruções condicionais e parâmetros.",translated,,curricular,candidate,
EVID_SUICA_Q02_CH_002_P0001_001,RUN_SUICA_20260912T144840Z,RUN_SUICA_20260912T144840Z_Q02,RESP_SUICA_Q02_20260912T144840Z,Q02,C02,COMPUTING_AND_DIGITAL_EDUCATION,suica,CH_002,CH_002__CH_002.md,1,1,CH_002_p0001_c001,it,"Nella Scuola media esiste uno spazio specifico per il pensiero computazionale, ovvero l’opzione di orientamento Robotica in quarta media, che tratta direttamente i rudimenti della programmazione.","Na Escola média, existe um espaço específico para o pensamento computacional, ou seja, a opção de orientação em Robótica no quarto ano, que trata diretamente os rudimentos da programação.",translated,0.8,curricular_integration,candidate,
EVID_SUICA_Q02_CH_002_P0001_002,RUN_SUICA_20260912T144840Z,RUN_SUICA_20260912T144840Z_Q02,RESP_SUICA_Q02_20260912T144840Z,Q02,C02,COMPUTING_AND_DIGITAL_EDUCATION,suica,CH_002,CH_002__CH_002.md,1,1,CH_002_p0001_c001,it,"Ci sono però spazi naturali di esercizio e sviluppo di questa competenza nell’ambito delle discipline. In primis in Matematica, dove ci sono argomenti quali la costruzione di poligoni, regolari e non, oppure il trattamento di dati, o lo studio delle funzioni, che possono essere affrontati attraverso la costruzione di algoritmi e l’uso di strumenti digitali.","No entanto, há espaços naturais para o exercício e desenvolvimento dessa competência no âmbito das disciplinas. Em primeiro lugar, em Matemática, onde há tópicos como a construção de polígonos, regulares e não, ou o tratamento de dados, ou o estudo de funções, que podem ser abordados através da construção de algoritmos e do uso de ferramentas digitais.",translated,0.9,curricular_integration,candidate,
EVID_SUICA_Q03_CH_001_P0001_001,RUN_SUICA_20260912T144840Z,RUN_SUICA_20260912T144840Z_Q03,RESP_SUICA_Q03_20260912T144840Z,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,suica,CH_001,Éducation numérique - plan d’études romand,1,1,1,français,"Rechercher, analyser, évaluer l'information et créer des contenus médiatiques à l’aide d’outils adéquats, de manière citoyenne et responsable.","Pesquisar, analisar, avaliar a informação e criar conteúdos mediáticos com ferramentas adequadas, de forma cidadã e responsável.",translated,,support,candidate,
EVID_SUICA_Q03_CH_001_P0002_002,RUN_SUICA_20260912T144840Z,RUN_SUICA_20260912T144840Z_Q03,RESP_SUICA_Q03_20260912T144840Z,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,suica,CH_001,Éducation numérique - plan d’études romand,2,2,2,français,CULTURE ET CITOYENNETÉ NUMÉRIQUES,CULTURA E CIDADANIA DIGITAIS.,translated,,support,candidate,
EVID_SUICA_Q03_CH_002_P0001_003,RUN_SUICA_20260912T144840Z,RUN_SUICA_20260912T144840Z_Q03,RESP_SUICA_Q03_20260912T144840Z,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,suica,CH_002,CH_002__CH_002.md,1,1,1,italiano,Riconoscere le possibili conseguenze delle azioni compiute attraverso i media.,Reconhecer as possíveis consequências das ações realizadas através dos meios.,translated,,support,candidate,
EVID_SUICA_Q03_CH_003_P0017_004,RUN_SUICA_20260912T144840Z,RUN_SUICA_20260912T144840Z_Q03,RESP_SUICA_Q03_20260912T144840Z,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,suica,CH_003,CH_003__CH_003.md,17,17,1,alemão,"Die Schülerinnen und Schüler können Gedanken, Meinungen, Erfahrungen und Wissen in Medienbeiträge umsetzen und unter Einbezug der Gesetze, Regeln und Wertesysteme auch veröffentlichen.","Os alunos podem transformar pensamentos, opiniões, experiências e conhecimentos em conteúdos mediáticos e publicá-los considerando as leis, regras e sistemas de valores.",translated,,support,candidate,
EVID_SUICA_Q04_CH_002_P0004_001,RUN_SUICA_20260912T144840Z,RUN_SUICA_20260912T144840Z_Q04,RESP_SUICA_Q04_20260912T144840Z,Q04,C04,OECD_PISA,suica,CH_002,CH_002__CH_002.md,4,4,CH_002_p0004_c001,it,"Riconoscere istruzioni formali come ricette, istruzioni di gioco o di costruzioni, coreografie di ballo, eccetera. Discutere delle proprie esperienze in ambienti reali e virtuali e raccontare del proprio utilizzo dei media.","Reconhecer instruções formais como receitas, instruções de jogos ou de construções, coreografias de dança, etc. Discutir as próprias experiências em ambientes reais e virtuais e relatar a utilização que se deu aos meios de comunicação.",translated,,support,candidate,
