response_id,run_id,question_run_id,question_id,category_id,framework,country,question_text,response,evidence_ids,backend,question_version,prompt_version,run_date,validation_status,review_notes
RESP_AUSTRALIA_Q01_20260912T140702Z,RUN_AUSTRALIA_20260912T140702Z,RUN_AUSTRALIA_20260912T140702Z_Q01,Q01,C01,COMPUTING_AND_DIGITAL_EDUCATION,australia,Como o país define e organiza as competências de Computação e Educação Digital em seus documentos curriculares?,"A Austrália define e organiza as competências de Computação e Educação Digital em seus documentos curriculares através de sequências de habilidades e conteúdos que orientam o desenvolvimento dos alunos desde o ensino fundamental até o ensino médio. Essas sequências incluem a exploração de sistemas digitais, representações de dados, criação e uso de algoritmos, além de uso seguro de ferramentas digitais e conscientização sobre privacidade e segurança de dados.",EVID_AUSTRALIA_Q01_OC_AU_01_P0001_001; EVID_AUSTRALIA_Q01_OC_AU_02_P0001_002; EVID_AUSTRALIA_Q01_OC_AU_02_P0002_003,openai,3.0,rag-country-v3.2,2026-09-12T14:07:02.078864+00:00,candidate,
RESP_AUSTRALIA_Q02_20260912T140702Z,RUN_AUSTRALIA_20260912T140702Z,RUN_AUSTRALIA_20260912T140702Z_Q02,Q02,C02,COMPUTING_AND_DIGITAL_EDUCATION,australia,"Como o Pensamento Computacional é definido, desenvolvido ou incorporado ao currículo do país?","O Pensamento Computacional é integrado ao currículo australiano na forma de Sequência de Conteúdo nas Tecnologias Digitais, abrangendo o reconhecimento, exploração, representação e manipulação de dados, além da descrição e implementação de algoritmos simples até complexos ao longo do percurso escolar. Estudantes aprendem a utilizar ferramentas digitais para criar, localizar e compartilhar conteúdo, respeitando convenções acordadas.",EVID_AUSTRALIA_Q02_OC_AU_01_P0001_001; EVID_AUSTRALIA_Q02_OC_AU_01_P0001_002; EVID_AUSTRALIA_Q02_OC_AU_02_P0001_003,openai,3.0,rag-country-v3.2,2026-09-12T14:07:02.078864+00:00,candidate,
RESP_AUSTRALIA_Q03_20260912T140702Z,RUN_AUSTRALIA_20260912T140702Z,RUN_AUSTRALIA_20260912T140702Z_Q03,Q03,C03,COMPUTING_AND_DIGITAL_EDUCATION,australia,"Como os documentos abordam cidadania digital, ética digital e letramento midiático?","Os documentos abordam cidadania digital e letramento midiático ao tratar do uso de ferramentas digitais, da gestão de dados pessoais e da colaboração em ambientes digitais. A ética digital é evidenciada por meio da discussão sobre a identificação e gerenciamento de dados pessoais, bem como a compreensão dos riscos associados ao uso de tecnologias digitais.",EVID_AUSTRALIA_Q03_OC_AU_02_P0001_001; EVID_AUSTRALIA_Q03_OC_AU_01_P0001_002,openai,3.0,rag-country-v3.2,2026-09-12T14:07:02.078864+00:00,candidate,
RESP_AUSTRALIA_Q04_20260912T140702Z,RUN_AUSTRALIA_20260912T140702Z,RUN_AUSTRALIA_20260912T140702Z_Q04,Q04,C04,OECD_PISA,australia,Que evidências apresentam convergência com princípios ou dimensões presentes nos referenciais UNESCO e OECD/PISA?,"As evidências coletadas mostram que os estudantes são capacitados a compreender como as tecnologias impactam as decisões de design e as necessidades da comunidade, alinhando-se com os princípios da UNESCO e do OECD/PISA. O currículo enfatiza a representação e o processamento de dados, além da colaboração no uso de ferramentas digitais, que são aspectos centrais nesses referenciais.",EVID_AUSTRALIA_Q04_OC_AU_01_P0001_001; EVID_AUSTRALIA_Q04_OC_AU_01_P0001_002,openai,3.0,rag-country-v3.2,2026-09-12T14:07:02.078864+00:00,candidate,
RESP_AUSTRALIA_Q05_20260912T140702Z,RUN_AUSTRALIA_20260912T140702Z,RUN_AUSTRALIA_20260912T140702Z_Q05,Q05,C05,COMPUTING_AND_DIGITAL_EDUCATION,australia,Quais competências associadas ao século XXI aparecem nos documentos curriculares?,"Os documentos curriculares da Austrália destacam diversas competências associadas ao século XXI, incluindo o uso de sistemas digitais, a representação de dados, o design e produção de soluções tecnológicas, e a colaboração utilizando ferramentas digitais.",EVID_AUSTRALIA_Q05_OC_AU_02_P0001_001; EVID_AUSTRALIA_Q05_OC_AU_01_P0001_002; EVID_AUSTRALIA_Q05_OC_AU_02_P0001_003; EVID_AUSTRALIA_Q05_OC_AU_01_P0001_004,openai,3.0,rag-country-v3.2,2026-09-12T14:07:02.078864+00:00,candidate,
RESP_AUSTRALIA_Q06_20260912T140702Z,RUN_AUSTRALIA_20260912T140702Z,RUN_AUSTRALIA_20260912T140702Z_Q06,Q06,C06,COMPUTING_AND_DIGITAL_EDUCATION,australia,"Como colaboração, criatividade e resolução de problemas são incorporadas às competências e práticas curriculares?","Estudantes usam ferramentas digitais para criar, localizar e compartilhar conteúdo, colaborando e comunicando ideias de design utilizando modelos e desenhos. Eles seguem passos organizados e utilizam tecnologias para produzir soluções desenhadas de forma segura. A comunicação de ideias é feita usando termos técnicos e técnicas de representação gráfica.",EVID_AUSTRALIA_Q06_OC_AU_01_P0001_001; EVID_AUSTRALIA_Q06_OC_AU_01_P0001_002,openai,3.0,rag-country-v3.2,2026-09-12T14:07:02.078864+00:00,candidate,
RESP_AUSTRALIA_Q07_20260912T140702Z,RUN_AUSTRALIA_20260912T140702Z,RUN_AUSTRALIA_20260912T140702Z_Q07,Q07,C07,COMPUTING_AND_DIGITAL_EDUCATION,australia,"Como os documentos abordam Inteligência Artificial, ética, privacidade, segurança e uso responsável das tecnologias digitais?","Os documentos abordam aspectos de inteligência artificial, ética e privacidade ao destacar a importância da segurança e do uso responsável das tecnologias digitais, como a identificação e gerenciamento de dados pessoais e a consideração de fatores éticos nas decisões de design.",EVID_AUSTRALIA_Q07_OC_AU_01_P0003_001; EVID_AUSTRALIA_Q07_OC_AU_02_P0001_002,openai,3.0,rag-country-v3.2,2026-09-12T14:07:02.078864+00:00,candidate,
RESP_AUSTRALIA_Q08_20260912T140702Z,RUN_AUSTRALIA_20260912T140702Z,RUN_AUSTRALIA_20260912T140702Z_Q08,Q08,C08,COMPUTING_AND_DIGITAL_EDUCATION,australia,"Como inclusão, acessibilidade e equidade digital são tratadas nos documentos?","Os documentos tratam da inclusão, acessibilidade e equidade digital ao explorar como os estudantes interagem com sistemas digitais e como suas decisões de design devem considerar as necessidades dos usuários. Eles enfatizam a importância de identificar dados pessoais e reconhecer os riscos associados, além de utilizar tecnologias de forma responsável e colaborativa.",EVID_AUSTRALIA_Q08_OC_AU_01_P0001_001; EVID_AUSTRALIA_Q08_OC_AU_02_P0002_002,openai,3.0,rag-country-v3.2,2026-09-12T14:07:02.078864+00:00,candidate,
RESP_AUSTRALIA_Q09_20260912T140702Z,RUN_AUSTRALIA_20260912T140702Z,RUN_AUSTRALIA_20260912T140702Z_Q09,Q09,C09,COMPUTING_AND_DIGITAL_EDUCATION,australia,"Que equilíbrio existe entre dimensões técnicas da Computação e dimensões sociais, culturais, éticas e humanas da Educação Digital?","O equilíbrio entre as dimensões técnicas da Computação e as dimensões sociais, culturais, éticas e humanas da Educação Digital é evidente na forma como as tecnologias digitais são utilizadas para atender às necessidades da comunidade, considerando impactos e responsabilidades no design de soluções.",EVID_AUSTRALIA_Q09_OC_AU_01_P0001_001; EVID_AUSTRALIA_Q09_OC_AU_02_P0004_002,openai,3.0,rag-country-v3.2,2026-09-12T14:07:02.078864+00:00,candidate,
RESP_AUSTRALIA_Q10_20260912T140702Z,RUN_AUSTRALIA_20260912T140702Z,RUN_AUSTRALIA_20260912T140702Z_Q10,Q10,C10,COMPUTING_AND_DIGITAL_EDUCATION,australia,"Como pensamento crítico, autonomia e participação social são promovidos no currículo relacionado à Computação e Educação Digital?","O currículo de Computação e Educação Digital na Austrália promove o pensamento crítico, a autonomia e a participação social através do desenvolvimento de soluções digitais, a análise de necessidades, e a comunicação de ideias usando ferramentas digitais. Os alunos são incentivados a criar, modificar e avaliar soluções projetadas, justificando suas decisões com base em critérios de design que incluem a sustentabilidade.",EVID_AUSTRALIA_Q10_OC_AU_01_P0002_001; EVID_AUSTRALIA_Q10_OC_AU_02_P0001_002,openai,3.0,rag-country-v3.2,2026-09-12T14:07:02.078864+00:00,candidate,
